,output_text,vector,output_data_source,index
59,"ای آینه فقیری جانی و چیز دیگر	وی آنک در ضمیری آنی و چیز دیگر
اسرار آسمان را اندیشه و نهان را	احوال این و آن را دانی و چیز دیگر
تاریخ برگذشته بر انسی و فرشته	خط های نانبشته خوانی و چیز دیگر
از غیب حصه ها را بدهی به مستحقان	وز سینه غصه ها را رانی و چیز دیگر","[[ 1.0999866e-02 -2.4128756e-08 -3.5609617e-06 ...  1.4389954e-04
  -4.6921552e-05  3.3574746e-04]]",غزلیات مولوی,1115
60,"عار بادا جهانیان را عار	از دو سه ماده ابله طرار
شکلک زاهدان ولی ز درون	لیس فی الدار سیدی دیار
به دو پول سیاه بتوان یافت	زین چنین خربطان دو سه خروار","[[ 5.8419439e-03  1.6279167e-03 -4.7512117e-06 ...  1.6262697e-02
   2.0888187e-02  1.0610698e-02]]",غزلیات مولوی,1163
61,"خلق را زیر گنبد دوار	چشم ها کور و دیدنی بسیار
جور او کش از آنک شورش دل	نور چشمست یا اولوالابصار
بر دو دیده نهم غمت کاین درد	داروی خاص خسرویست به بار
باغ جان خوش ز سنگ بارانست	ما نخواهیم قطره سنگ ببار
شمس تبریز گوهر عشقست	گوهر عشق را تو خوار مدار",[[0.0118971  0.00094455 0.00015084 ... 0.00173327 0.00879554 0.01670267]],غزلیات مولوی,1164
62,"نیست در آخرزمان فریادرس	جز صلاح الدین صلاح الدین و بس
گر ز سر سر او دانسته ای	دم فروکش تا نداند هیچ کس
سینه عاشق یکی آبیست خوش	جان ها بر آب او خاشاک و خس
چون ببینی روی او را دم مزن	کاندر آیینه زیان باشد نفس
از دل عاشق برآید آفتاب	نور گیرد عالمی از پیش و پس",[[0.01553986 0.01222884 0.00052104 ... 0.03650011 0.0072311  0.01778738]],غزلیات مولوی,1210
63,"ای شب خوش رو که تویی مهتر و سالار حبش	ما ز تو شادیم همه وقت تو خوش وقت تو خوش

عشق تو اندرخور ما شوق تو اندر بر ما	دست بنه بر سر ما دست مکش دست مکش
ای شب خوبی و بهی جان بجهد گر بجهی	گر سه عدد بر سه نهی گردد شش گردد شش
شش جهتم از رخ تو وز نظر فرخ تو	هفت فلک را بدهد خوبی و کش خوبی و کش",[[0.001382   0.00159308 0.0054318  ... 0.0020307  0.0109949  0.02057668]],غزلیات مولوی,1218
64,"برفتم دی به پیشش سخت پرجوش	نپرسید او مرا بنشست خاموش
نظر کردم بر او یعنی که واپرس	که بی روی چو ماهم چون بدی دوش
نظر اندر زمین می کرد یارم	که یعنی چون زمین شو پست و بی هوش
ببوسیدم زمین را سجده کردم	که یعنی چون زمینم مست و مدهوش","[[ 2.0975518e-05  1.5515259e-06 -1.3878233e-06 ...  1.8363121e-04
  -6.2190484e-05  1.3043670e-04]]",غزلیات مولوی,1236
65,"شنو پندی ز من ای یار خوش کیش	به خون دل برآید کار درویش
یقین می دان مجیب و مستجابست	دعای سوخته درویش دل ریش
چو آن سلطان بی چون را بدیدی	غنی گشتی رهیدی از کم و بیش
چو اسماعیل قربان شو در این عشق	ولی را بنده شو گر نیستی میش
چو پختی در هوای شمس تبریز	از این خامان بیهوده میندیش",[[0.00333061 0.0009484  0.00093224 ... 0.01623344 0.00806621 0.01593321]],غزلیات مولوی,1237
66,"آن مطرب ما خوشست و چنگش	دیوانه شود دل از ترنگش
چون چنگ زند یکی تو بنگر	کز لطف چگونه گشت رنگش
گر تنگ آیی ز زندگانی	برجه به کنار گیر تنگش","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717413]]",غزلیات مولوی,1240
67,"یار درآمد ز باغ بیخود و سرمست دوش	توبه کنان توبه را سیل ببردست دوش
عاشق صدساله ام توبه کجا من کجا	توبه صدساله را یار دراشکست دوش
باده خلوت نشین در دل خم مست شد	خلوت و توبه شکست مست برون جست دوش
ولوله در کو فتاد عقل درآمد که داد	محتسب عقل را دست فروبست دوش","[[-7.8377558e-04 -9.0398371e-06  3.9180738e-04 ...  1.1443347e-02
   1.0276645e-02  1.6400443e-02]]",غزلیات مولوی,1278
68,"ای ظریف جهان سلام علیک	ان دائی و صحتی بیدیک
داروی درد بنده چیست بگو	قبله لو رزقت من شفتیک
از تو آیم بر تو هم به نفیر	آه المستغاث منک الیک
گر به خدمت نمی رسم به بدن	انما الروح و الفواد لدیک
گر خطابی نمی رسد بی حرف	پس جهان پر چرا شد از لبیک
نحس گوید تو را که بدلنی	سعد گوید تو را که یا سعدیک",[[0.00286239 0.00138931 0.00232969 ... 0.01134337 0.00233427 0.01680674]],غزلیات مولوی,1323
69,"حریف جنگ گزیند تو هم درآ در جنگ	چو سگ صداع دهد تن مزن برآور سنگ
به خویش آی و چنین خویش را خلاوه مکن	که اینت گوید گولست و آنت گوید دنگ
چه دست باشد کز رو مگس نداند راند	ز سست طبعی کرمی نمایدش چو پلنگ","[[ 7.4187773e-03 -1.7354772e-05 -6.1460109e-05 ...  1.8144075e-02
   3.9066253e-03  2.9765027e-02]]",غزلیات مولوی,1328
70,"کجکنن اغلن اودیا کلکل	یوک بلمسک دغدغ کز کل
ای سر مستان ای شه مقبل	مکرم و مشفق پردل و بی دل
اول ججکی کم یازده بلدک	کمیه ورما خصمنا ور کل
سلسله بنگر گر بکشندت	جذب الهی کردت مقبل
نبود این هم بی سر و معنی	هر متحول بی ز محول","[[ 0.01080967  0.00946905 -0.00039711 ...  0.02024078  0.00988647
   0.02965594]]",غزلیات مولوی,1363
71,"یا بدیع الحسن قد اوضحت بالبلبال بال	بالهوی زلزلتنی و العقل فی الزلزال زال
قد رجعنا قد رجعنا جانبا من طورکم	انظرونا انظرونا نستقی الماء الزلال
کل شی ء منکم عندی لذیذ طیب	منک طابت کل ارض ان ذا سحر حلال","[[ 0.00780335  0.01729443  0.00493254 ... -0.00038247  0.00816399
   0.01140262]]",غزلیات مولوی,1366
72,"رشاء العشق حبیبی لشرود و مضل	کل قلب لهواه وجد الصبر یصل
سنه الوصل قصیر عجل معتجل	سنه الهجر طویل و مدید و ممل
یملاء الکاس حبیبی و طبیبی و تذر	فعلن مفتعلن او فعلاتن و فعل
ناول الکاس نهارا و جهارا و قحا	لا یخاف رهقا من به محیاک قتل","[[ 1.6577735e-03 -4.5438090e-05 -2.6832448e-04 ...  2.4853654e-03
   1.1886657e-02  2.7252324e-02]]",غزلیات مولوی,1367
73,"عمرک یا واحدا فی درجات الکمال	قد نزل الهم بی یا سندی قم تعال
یا فرحی مونسی یا قمر المجلس	وجهک بدر تمام ریقک خمر حلال
روحک بحر الوفا لونک لمع الصفا	عمرک لو لا التقی قلت ایا ذا الجلال
تسکن قلب الوری تسکرهم بالهوی	تدرک ما لا یری انت لطیف الخیال
تسکن ارواحهم تسکر اشباحهم	تجلسهم مجلسا فیه کووس ثقال",[[0.0075099  0.00421632 0.0064261  ... 0.00568585 0.00087965 0.02356072]],غزلیات مولوی,1368
74,"هر نفسی تازه ترم کز سر روزن بپرم	چونک بهارم تو شهی باغ توام شاخ ترم
چونک تویی میر مرا در بر خود گیر مرا	خاک تو بادا کلهم دست تو بادا کمرم
چونک تو دست شفقت بر سر ما داشته ای	نیست عجب گر ز شرف بگذرد از چرخ سرم",[[0.00786157 0.00555256 0.00450017 ... 0.00685543 0.0071655  0.02258553]],غزلیات مولوی,1399
75,"کوه نیم سنگ نیم چونک گدازان نشوم	دیدم جمعیت تو چونک پریشان نشوم
کوه ز کوهی برود سنگ ز سنگی بشود	پس من اگر آدمیم کمتر از ایشان نشوم
آهن پولاد و حجر در کف تو موم شود	من که همه موم توام چونک بدین سان نشوم",[[0.0014066  0.00743698 0.00452053 ... 0.0112807  0.00344827 0.03417133]],غزلیات مولوی,1401
76,"اگر شد سود و سرمایه چه غمگینی چو من هستم	برآور سر ز جود من که لاتاسوا نمودستم
اگر فانی شود عالم ز دریایی بود شبنم	گر افتاده ست او از خود نیفتاده ست از دستم
جهان ماهی عدم دریا درون ماهی این غوغا	کنم صیدش اگر گم شد که من صیاد بی شستم",[[0.00365233 0.04285542 0.00921872 ... 0.0003972  0.00821029 0.01906794]],غزلیات مولوی,1420
77,"زهی سرگشته در عالم سر و سامان که من دارم	زهی در راه عشق تو دل بریان که من دارم
وگر در راه بازار غم عشقت خریدارم	به صد جان ها بنفروشم ز عشقت آنچ من دارم","[[ 5.0268271e-03 -6.6934685e-05  9.4695122e-04 ...  6.2977313e-03
   1.2607100e-02  1.2850127e-02]]",غزلیات مولوی,1442
78,"توبه نکنم هرگز زین جرم که من دارم	زان کس که کند توبه زین واقعه بیزارم
مجنون ز غم لیلی چون توبه نکرد ای جان	صد لیلی و صد مجنون درجست در اسرارم
بس بی سر و پا عشقی که عاشق و معشوقم	هم زارم و بیمارم هم صحت بیمارم
اندیشه پرنده زین سوخته پر گشته	که من قفص تنگم که جعفر طیارم",[[0.00959431 0.0057804  0.00230602 ... 0.01148393 0.01369589 0.02022843]],غزلیات مولوی,1456
79,"ای خواجه بفرما به کی مانم به کی مانم	من مرد غریبم نه از این شهر جهانم
گر دم نزنم تا حسد خلق نجنبد	دانم که نگویم نتوانم که ندانم
آن کل کلهی یافت و کل خویش نهان کرد	با بنده به خشم است که دانای نهانم
گر صلح کند داروی کلیش بسازیم	از ننگ کلی و کلهش بازرهانم","[[ 3.6803127e-04 -3.0268943e-08 -4.7393729e-07 ...  1.1456923e-03
  -5.1556453e-05 -3.1386804e-05]]",غزلیات مولوی,1488
80,"بیا کز عشق تو دیوانه گشتم	وگر شهری بدم ویرانه گشتم
ز عشق تو ز خان و مان بریدم	به درد عشق تو همخانه گشتم
چیان کاهل بدم کان را نگویم	چو دیدم روی تو مردانه گشتم
چو خویش جان خود جان تو دیدم	ز خویشان بهر تو بیگانه گشتم
فسانه عاشقان خواندم شب و روز	کنون در عشق تو افسانه گشتم",[[0.01206308 0.00693993 0.00276892 ... 0.00741912 0.00721613 0.00820171]],غزلیات مولوی,1499
81,"منم فتنه هزاران فتنه زادم	به من بنگر که داد فتنه دادم
ز من مگریز زیرا درفتادی	بگو الحمدلله درفتادم
عجب چیزی است عشق و من عجبتر	تو گویی عشق را خود من نهادم
بیا گر من منم خونم بریزید	که تا خود من نمردم من نزادم
نگویم سر تو کان غمز باشد	ولی ناگفته بندی برگشادم","[[ 0.01016699  0.00245157  0.00880683 ... -0.00070459  0.00766789
   0.02799137]]",غزلیات مولوی,1501
82,"اگر عشقت به جای جان ندارم	به زلف کافرت ایمان ندارم
چو گفتی ننگ می داری ز عشقم	غم عشق تو را پنهان ندارم
تو می گفتی مکن در من نگاهی	که من خون ها کنم تاوان ندارم
من سرگشته چون فرمان نبردم	از آن بر نیک و بد فرمان ندارم
چو هر کس لطف می یابند از تو	من بیچاره آخر جان ندارم",[[0.01043429 0.03404715 0.00546972 ... 0.00677726 0.00990805 0.00518952]],غزلیات مولوی,1510
83,"زنهار مرا مگو که پیرم	پیری و فنا کجا پذیرم
من ماهی چشمه حیاتم	من غرقه بحر شهد و شیرم
جز از لب لعل جان ننوشم	غیر سر زلف او نگیرم
گر کژ نهدم کمان ابرو	در حکم کمان او چو تیرم
انداخته ای چو تیر دورم	برگیر که از تو ناگزیرم
پرم تو دهی چرا نپرم	میرم چو تویی چرا بمیرم",[[0.00948818 0.00999605 0.00840727 ... 0.0078029  0.00275035 0.01841912]],غزلیات مولوی,1549
84,"ای برده نماز من ز هنگام	هین وقت نماز شد بیارام
ای خورده تو خون صد قلندر	ای بر تو حلال خون بیاشام
عشق تو و آنگهی سلامت	ای دشمن ننگ و دشمن نام
مستی تو وانگهی سر و پا	دیوانه وانگهی سرانجام
یک حرف بپرسمت بگویی	دلسوخته دیده چنین خام
پیداست که یار من ملول است	خاموش شدم به کام و ناکام",[[0.00609429 0.00085139 0.00696678 ... 0.02085129 0.00760405 0.01848043]],غزلیات مولوی,1556
85,"من دوش به تازه عهد کردم	سوگند به جان تو بخوردم
کز روی تو چشم برندارم	گر تیغ زنی ز تو نگردم
درمان ز کسی دگر نجویم	زیرا ز فراق توست دردم
در آتشم ار فروبری تو	گر آه برآورم نه مردم
برخاستم از رهت چو گردی	بر خاک ره تو بازگردم","[[-4.9450761e-04 -2.1235890e-06 -2.6987703e-04 ...  1.7150359e-02
  -9.9964638e-04  9.6010007e-03]]",غزلیات مولوی,1559
86,"من اشتر مست شهریارم	آن خایم کز گلو برآرم
چون گلبن روی اوست خویم	اشکوفه من بود نثارم
چون بحر اگر ترش کنم رو	پرگوهر و در بود کنارم
گر یار وصال ما نجوید	با عشق وصال یار غارم
خواری که به پیش خلق عار است	آن عار شده ست افتخارم
باد منطق برون کن از لنج	کز باد نطق در این غبارم","[[ 0.00618153  0.00175578  0.00325405 ... -0.00157832  0.0056012
   0.02058913]]",غزلیات مولوی,1563
87,"ناآمده سیل تر شدستیم	نارفته به دام پای بستیم
شطرنج ندیده ایم و ماتیم	یک جرعه نخورده ایم و مستیم
همچون شکن دو زلف خوبان	نادیده مصاف ما شکستیم
ما سایه آن بتیم گویی	کز اصل وجود بت پرستیم
سایه بنماید و نباشد	ما نیز چو سایه نیست هستیم",[[0.00395091 0.00516606 0.0008761  ... 0.01124939 0.00640829 0.02399489]],غزلیات مولوی,1569
88,"در عشق قدیم سال خوردیم	وز گفت حسود برنگردیم
زین دمدمه ها زنان بترسند	بر ما تو مخوان که مرد مردیم
مردانه کنیم کار مردان	پنهان نکنیم آنچ کردیم
ما را تو به زرد و سرخ مفریب	کز خنجر عشق روی زردیم
بر درد هزار آفرین باد	باقی بر ما که یار دردیم",[[0.00658647 0.01246624 0.00764283 ... 0.00874178 0.00339894 0.01214764]],غزلیات مولوی,1571
89,"گر گمشدگان روزگاریم	ره یافتگان کوی یاریم
گم گردد روزگار چون ما	گر آتش دل بر او گماریم
نی سر ماند نه عقل او را	گر ما سر فتنه را بخاریم
این مرگ که خلق لقمه اوست	یک لقمه کنیم و غم نداریم
تو غرقه وام این قماری	ما وام گزار این قماریم
جانی مانده ست رهن این وام	جان را بدهیم و برگزاریم",[[0.0003242  0.00757665 0.00035985 ... 0.00307833 0.00183157 0.01223557]],غزلیات مولوی,1572
90,"ما شاخ گلیم نی گیاهیم	ما شیوه تر و تازه خواهیم
اشکوفه باغ آسمانیم	نقل و می مجلس الهیم
ما جوی نه ایم بلک آبیم	ما ابر نه ایم بلک ماهیم
لوح و قلمیم نی حروفیم	تیغ و علمیم نی سپاهیم
هم خسته غمزه چو تیریم	هم بسته طره سیاهیم","[[ 0.00592854  0.00310476  0.00060488 ... -0.00134739 -0.00183679
   0.01532905]]",غزلیات مولوی,1575
91,"علم عشق برآمد برهانم ز زحیرم	به لب چشمه حیوان بکشم پای بمیرم
به که مانم به که مانم که سطرلاب جهانم	چو قضا حکم روانم نه امیرم نه وزیرم
بروی ای عالم هستی همه را پای ببستی	تو اگر جان منستی نپذیرم نپذیرم","[[ 4.8937788e-03 -4.1476633e-05  4.3802373e-03 ...  5.8385124e-03
   4.8457040e-03  1.1608243e-02]]",غزلیات مولوی,1618
92,"نظری به کار من کن که ز دست رفت کارم	به کسم مکن حواله که بجز تو کس ندارم
چه کمی درآید آخر به شرابخانه تو	اگر از شراب وصلت ببری ز سر خمارم
چو نیم سزای شادی ز خودم مدار بی غم	که در این میان همیشه غم توست غمگسارم",[[0.02883753 0.00508692 0.0041643  ... 0.00150879 0.00927401 0.01458461]],غزلیات مولوی,1627
93,"تا که ما از نظر و خوبی تو باخبریم	از بد و نیک جهان همچو جهان بی خبریم
نظری کرد سوی خوبی تو دیده ما	از پیروی تو تا حشر غلام نظریم
دین ما مهر تو و مذهب ما خدمت تو	تا نگویی که در این عشق تو ما مختصریم
زهر بر یاد یکی نوش تو ای آهوچشم	گر به از نوش ننوشیم پس از سگ بتریم",[[0.00356837 0.0451973  0.00505056 ... 0.0261672  0.00372384 0.02643525]],غزلیات مولوی,1654
94,"روز باران است و ما جو می کنیم	بر امید وصل دستی می زنیم
ابرها آبستن از دریای عشق	ما ز ابر عشق هم آبستنیم
تو مگو مطرب نیم دستی بزن	تو بیا ما خود تو را مطرب کنیم
روشن است آن خانه گویی آن کیست	ما غلام خانه های روشنیم
ما حجاب آب حیوان خودیم	بر سر آن آب ما چون روغنیم","[[-1.7732508e-03  5.2982225e-04  7.7010314e-03 ... -7.9101628e-05
   3.8093787e-03  2.0612646e-02]]",غزلیات مولوی,1672
95,"چند گهی فاتحه خوانت کنم	از پس آن شاه جهانت کنم
پیر شدی در غم ما باک نیست	پیر بیا تا که جوانت کنم
هیچ غم جان مخور ار جان برفت	بگلر لشکرگه جانت کنم
آنچ محال است تصور دهم	وجه محالیش بیانت کنم
ره دهمت تا به اصول اصول	راه چه باشد که چنانت کنم
گر چه کلیمی همه در اعتراض	کشف کنم خضر زمانت کنم",[[0.00178802 0.00832213 0.00234657 ... 0.0191756  0.01643234 0.03082275]],غزلیات مولوی,1772
96,"ما به تماشای تو بازآمدیم	جانب دریای تو بازآمدیم
سیل غمت خانه دل را ببرد	زود به صحرای تو بازآمدیم
چون سر ما مطبخ سودای توست	بر سر سودای تو بازآمدیم
از سر چه صد رسن انداختی	تا سوی بالای تو بازآمدیم
ناله سرنای تو در جان رسید	در پی سرنای تو بازآمدیم","[[-2.7989989e-05  8.4367195e-05 -5.4937354e-06 ...  1.9040177e-04
  -6.8293899e-05 -3.3791579e-04]]",غزلیات مولوی,1774
97,"رحت انا من بینکم غبت کذا من عینکم	لا تغفلوا عن حینکم لا تهدموا دارینکم
اخواننا اخواننا ان الزمان خاننا	لا تنسوا هجراننا لا تهدموا دارینکم
قد فاتنا اعمارنا و استنسیت اخبارنا	و استثقلت اوزارنا لا تهدموا دارینکم
استوثقوا ادیانکم و استغنموا اخوانکم	و استعشقوا ایمانکم لا تهدموا دارینکم",[[0.00277855 0.00176308 0.00181636 ... 0.01947224 0.01660638 0.01736563]],غزلیات مولوی,1778
98,"ظننتم ایا عذال ان قد عدلتم	تظنون ان الحق فیما عذلتم
و ما ضاء ذاک البدر الا لاهله	و غادرکم انواره فضللتم
فما مل من ذاق الصبابه و الهوی	و انکم ما ذقتم فمللتم
و ان ذقتموا ما ذقتموه بحقها	و لا مشرب العشاق یوما وصلتم","[[ 0.01472506  0.00303896  0.00089309 ... -0.00087281  0.01273968
   0.01607675]]",غزلیات مولوی,1782
99,"کافرم ار در دو جهان عشق بود خوشتر از این	دیده ایمان شود ار نوش کند کافر از این
عشق بود کان هنر عشق بود معدن زر	دوست شود جلوه از آن پوست شود پرزر از این
عشق چو بگشاید لب بوی دهد بوی عجب	مشک شده مست از او گشته خجل عنبر از این
عشق بود خوب جهان مادر خوبان شهان	خاک شود گوهر از آن فخر کند مادر از این","[[ 8.7460224e-03 -5.4656401e-05  6.9203526e-03 ...  1.7864250e-02
   9.4031645e-03  2.0385325e-02]]",غزلیات مولوی,1819
100,"دانی که کجا جویی ما را به گه جستن	در گردش چشم او آن نرگس آبستن
در دل چو خیال او تابد ز جمال او	دل بند بدراند او را نتوان بستن
طفل دل پرسودا آغاز کند غوغا	پستان کریم او آغاز کند جستن
دل ز آتش عشق او آموخت سبک روحی	از سینه بپریدن هر ساعت برجستن","[[-0.00025452  0.00286852  0.00234564 ...  0.00295756  0.00807164
   0.02127885]]",غزلیات مولوی,1873
101,"از آتش روی خود اندر دلم آتش زن	و آتش ز دلم بستان در چرخ منقش زن
ای جان خوش ساده از اصل ملک زاده	هر جا که روی خوش رو هر دم که زنی خوش زن
ای جسم تو را از جان گر فرق کند جانم	شمشیر به کف داری بر تارک فرقش زن
ای طره پربندت بگشاده گره ها را	این یک گره دیگر بر زلف مشوش زن",[[0.00374133 0.00516138 0.00296193 ... 0.01176977 0.00440646 0.0305009 ]],غزلیات مولوی,1874
102,"گر این جا حاضری سر همچنین کن	چو کردی بار دیگر همچنین کن
مرا دی تنگ اندر بر کشیدی	بیا ای تنگ شکر همچنین کن
در و بام مرا دی می شکستی	درآ امروز از در همچنین کن
میان جان چاکر کار کردی	به پیش چشم چاکر همچنین کن
چه خوش کردی مها آن شیوه را دی	رها کن ناز و خوشتر همچنین کن","[[ 5.8649614e-04  2.9236320e-04 -1.1708095e-05 ...  4.3600543e-05
  -7.8326702e-05 -1.6888260e-04]]",غزلیات مولوی,1907
103,"ای روی مه تو شاد خندان	آن روی همیشه باد خندان
آن ماه ز هیچ کس نزاده ست	ور زانک بزاد زاد خندان
ای یوسف یوسفان نشستی	در مسند عدل و داد خندان
آن در که همیشه بسته بودی	وا شد ز تو با گشاد خندان
ای آب حیات چون رسیدی	شد آتش و خاک و باد خندان","[[-1.1253850e-05 -1.3828763e-09 -9.4991077e-07 ...  1.1734952e-03
  -2.1114825e-05 -5.0103394e-05]]",غزلیات مولوی,1923
104,"ای دوست عتاب را رها کن	تدبیر دوای درد ما کن
ای دوست جدا مشو تو از ما	ما را ز بلا و غم جدا کن
اندیشه چو دزد در دل افتاد	مستم کن و دزد را فنا کن
شادی ز میان غم برانگیز	در عالم بی وفا وفا کن","[[ 6.5841135e-03 -6.0666247e-05  3.2850518e-03 ...  5.9605017e-03
   1.6503111e-02  5.5470489e-05]]",غزلیات مولوی,1928
105,"ای عربده کرده دوش با من	می خورده و کرده جوش با من
ای جان به حق وصال دوشین	در خشم چنین مکوش با من
گر با تو ز من بدی بگفتید	با بنده بگو مپوش با من","[[ 2.0160193e-03 -2.2304150e-05  8.0570113e-03 ...  1.3515984e-02
   1.9030575e-02  2.7220832e-02]]",غزلیات مولوی,1929
106,"گلسن بنده ستایک غرضم یق اشد رسن	قلسن انده یوز در یلنز قنده قلرسن
چلبی درقیمو درلک چلبا گل نه گز رسن	چلبی قللرن استر چلبی نه سز سن
نه اغر در نه اغر در چلب اغرندن قغرمق	قولغن اج قولغن اج بله کم انده دگرسن","[[ 0.01608768  0.00014778  0.00074434 ... -0.00145591 -0.00051391
   0.02348139]]",غزلیات مولوی,1982
107,"شیرمردا تو چه ترسی ز سگ لاغرشان	برکش آن تیغ چو پولاد و بزن بر سرشان
چون ملک ساخته خود را به پر و بال دروغ	همه دیوند که ابلیس بود مهترشان
همه قلبند و سیه چون بزنی بر سر سنگ	هین چرا غره شدستی تو به سیم و زرشان",[[0.0025794  0.00114312 0.00666628 ... 0.00583187 0.01472507 0.02517342]],غزلیات مولوی,2004
108,"بشنو از دل نکته های بی سخن	و آنچ اندر فهم ناید فهم کن
در دل چون سنگ مردم آتشی است	کو بسوزد پرده را از بیخ و بن
چون بسوزد پرده دریابد تمام	قصه های خضر و علم من لدن
در میان جان و دل پیدا شود	صورت نو نو از آن عشق کهن
چون بخوانی والضحی خورشید بین	کان زر بین چون بخوانی لم یکن","[[-5.2759387e-05  4.8129197e-05 -5.3174108e-06 ...  2.7934986e-04
  -2.6532409e-05  2.9376699e-04]]",غزلیات مولوی,2010
109,"ساقیا برخیز و می در جام کن	وز شراب عشق دل را دام کن
نام رندی را بکن بر خود درست	خویشتن را لاابالی نام کن
چرخ گردنده تو را چون رام شد	مرکب بی مرکبی را رام کن
آتش بی باکی اندر چرخ زن	خاک تیره بر سر ایام کن
مذهب زناربندان پیشه گیر	خدمت کاووس و آذرنام کن","[[ 2.5719702e-03 -2.8011966e-05  2.7963696e-03 ...  1.5698727e-02
   1.1294394e-03  2.3039140e-02]]",غزلیات مولوی,2013
110,"راز چون با من نگوید یار من	بند گردد پیش او گفتار من
عذر می گوید که یعنی خامشم	با تو می گوید دل هشیار من
با کسی دیگر زبان گردد همه	سر خود می گوید و اسرار من
در گمان افتد دلم زین واقعه	این دل ترسان بدپندار من
گر بگوید ور نگوید راز من	دل ندارد صبر از دلدار من","[[ 2.6181727e-03  6.0292106e-04 -6.6079214e-05 ...  1.6607910e-03
  -1.5897260e-04  2.6391959e-03]]",غزلیات مولوی,2014
111,"جان من جان تو جانت جان من	هیچ دیدستی دو جان در یک بدن
ای تن ار بی او به صد جان زنده ای	جان طلب کن جان و لاف تن مزن
دل از این جان برکن و بر وی بنه	ز آنک از این جانی نیاید جان مکن
از قل الروح امر ربی فهم شد	شرح جان ای جان نیاید در دهن","[[ 3.5538822e-03 -7.7096760e-05  6.2974560e-04 ...  1.1609934e-02
   1.4222623e-03  2.5382981e-02]]",غزلیات مولوی,2016
112,"آمد آمد در میان خوب ختن	هر دو دستت را بشو از جان و تن
داد شمشیری به دست عشق و گفت	هرچ بینی غیر من گردن بزن
اندر آب انداز الا نوح را	هر که باشد خوب و زشت و مرد و زن
هر که او اندر دل نوح است رست	هر که در پستی است در دریا فکن","[[ 4.1514775e-04  2.2445843e-06 -1.5710270e-06 ...  4.0949494e-04
  -3.1061263e-05 -1.3631192e-04]]",غزلیات مولوی,2017
113,"به شکرخنده ببردی دل من	بشکن شکر دل را مشکن
دل ما را که ز جا برکندی	به تو آمد پر و بالش بمکن
بنگر تا به چه لطفش بردی	رحم کن هر نفسش زخم مزن
جانم اندر پی دل می آید	چه کند بی تو در این قالب تن
بی تو دل را نبود برگ جهان	بی تو گل را نبود برگ چمن
هین چرا بند شکستی خاموش	یا مگر نیست تو را بند دهن",[[0.00336393 0.00435866 0.0031606  ... 0.01405823 0.00740977 0.02701153]],غزلیات مولوی,2026
114,"آن خوب را طلب کن اندر میان حوران	مشنو کسی که گوید آن فتنه را مشوران
در دل چو نقش بندد جان از طرب بخندد	صد گون شکر بجوشد از تلخی صبوران
از پرتوی که افتد در چشم ها ز رویش	خارش چه افتد از وی در چشم های کوران","[[ 0.00930594  0.00344181 -0.0011205  ...  0.01420055  0.01095743
   0.04087878]]",غزلیات مولوی,2035
115,"ای دم به دم مصور جان از درون تن	نزدیکتر ز فکرت این نکته ها به من
ز آینده و گذشته چرا یاد می کنم	که لذت زمانی و هم قبله زمن
جان حقایقی و خیالات دلربا	و آن نقش های مه که نگنجد در این دهن","[[ 0.01434034  0.00374538 -0.00279389 ...  0.01460608  0.00646699
   0.05627859]]",غزلیات مولوی,2049
116,"یا تو ترش کرده رو مایه ده شکران	تنگ شکر می کشد تا بنهد در میان
سرکه فروشان هلا سرکه بریزید زود	تا که عسل پر کند آن شه شکرلبان
سرکه نه ساله را بهر خدا را بریز	چونک بریزی بیا تا دهمت من نشان
طوطی جان تو را سرکه نوا کی دهد	بلبل مست تو را شرط بود گلستان",[[0.00346733 0.00948399 0.00131475 ... 0.00749404 0.00591775 0.03793944]],غزلیات مولوی,2070
117,"بگویم مثالی از این عشق سوزان	یکی آتشی در نهانم فروزان
اگر می بنالم وگر می ننالم	به کار است آتش به شب ها و روزان
همه عقل ها خرقه دوزند لیکن	جگرهای عشاق شد خرقه سوزان",[[0.01223038 0.01222343 0.00762583 ... 0.01205867 0.01585896 0.01960934]],غزلیات مولوی,2087
118,"یک قوصره پر دارم ز سخن	جان می شنود تو گوش مکن
دربند خودی زین سیر شدی	گیری سر خود ای بی سر و بن
چون مستمعان جمله بروند	گویم غم نو با یار کهن
کی سیر شود ماهی ز تری	یا تشنه حق از علم لدن
گر سیر شدند این مستمعان	جان می شنود از قرط اذن","[[ 0.00225959 -0.00010604  0.0002128  ...  0.00539935  0.00629534
   0.02586686]]",غزلیات مولوی,2094
119,"سیر گشتم ز نازهای خسان	کم زنم من چو روغن به لسان
بعد از این شهد را نهان دارم	تا نیفتند اندر او مگسان
خویش را بعد از این چنان دزدم	که نیابند مر مرا عسسان
هر زمان جانب دگر تازم	بی رفیقان و صاحبان و کسان
ای خدا در تو چون گریخته ام	این چنین قوم را به من مرسان","[[ 1.0573893e-04 -3.5682124e-08 -2.0276957e-06 ... -1.2860205e-05
  -1.2451189e-04 -2.3786581e-04]]",غزلیات مولوی,2101
