,output_text,vector, ,index,output_data_source
148,"يارم چو قدح به دست گيرد
بازار بتان شکست گيرد
هر کس که بديد چشم او گفت
کو محتسبی که مست گيرد
در بحر فتاده‌ام چو ماهی
تا يار مرا به شست گيرد
در پاش فتاده‌ام به زاری
آيا بود آن که دست گيرد
خرم دل آن که همچو حافظ
جامی ز می الست گيرد","[[-1.2603635e-04 -3.0264655e-08 -1.6492148e-06 ... -1.0840622e-05
  -4.0693292e-05 -2.7331986e-04]]",,149,غزلیات حافظ
149,"دلم جز مهر مه رويان طريقی بر نمی‌گيرد
ز هر در می‌دهم پندش وليکن در نمی‌گيرد
خدا را ای نصيحتگو حديث ساغر و می گو
که نقشی در خيال ما از اين خوشتر نمی‌گيرد
بيا ای ساقی گلرخ بياور باده رنگين
که فکری در درون ما از اين بهتر نمی‌گيرد
صراحی می‌کشم پنهان و مردم دفتر انگارند
عجب گر آتش اين زرق در دفتر نمی‌گيرد
من اين دلق مرقع را بخواهم سوختن روزی
که پير می فروشانش به جامی بر نمی‌گيرد
از آن رو هست ياران را صفاها با می لعلش
که غير از راستی نقشی در آن جوهر نمی‌گيرد
سر و چشمی چنين دلکش تو گويی چشم از او بردوز
برو کاين وعظ بی‌معنی مرا در سر نمی‌گيرد
نصيحتگوی رندان را که با حکم قضا جنگ است
دلش بس تنگ می‌بينم مگر ساغر نمی‌گيرد
ميان گريه می‌خندم که چون شمع اندر اين مجلس
زبان آتشينم هست ليکن در نمی‌گيرد
چه خوش صيد دلم کردی بنازم چشم مستت را
که کس مرغان وحشی را از اين خوشتر نمی‌گيرد
سخن در احتياج ما و استغنای معشوق است
چه سود افسونگری ای دل که در دلبر نمی‌گيرد
من آن آيينه را روزی به دست آرم سکندروار
اگر می‌گيرد اين آتش زمانی ور نمی‌گيرد
خدا را رحمی ای منعم که درويش سر کويت
دری ديگر نمی‌داند رهی ديگر نمی‌گيرد
بدين شعر تر شيرين ز شاهنشه عجب دارم
که سر تا پای حافظ را چرا در زر نمی‌گيرد",[[0.01077588 0.01548112 0.01161628 ... 0.01865538 0.00942628 0.02043759]],,150,غزلیات حافظ
150,"ساقی ار باده از اين دست به جام اندازد
عارفان را همه در شرب مدام اندازد
ور چنين زير خم زلف نهد دانه خال
ای بسا مرغ خرد را که به دام اندازد
ای خوشا دولت آن مست که در پای حريف
سر و دستار نداند که کدام اندازد
زاهد خام که انکار می و جام کند
پخته گردد چو نظر بر می خام اندازد
روز در کسب هنر کوش که می خوردن روز
دل چون آينه در زنگ ظلام اندازد
آن زمان وقت می صبح فروغ است که شب
گرد خرگاه افق پرده شام اندازد
باده با محتسب شهر ننوشی زنهار
بخورد باده‌ات و سنگ به جام اندازد
حافظا سر ز کله گوشه خورشيد برآر
بختت ار قرعه بدان ماه تمام اندازد","[[ 2.2305369e-03 -1.8529276e-05  1.8192302e-03 ...  9.2208032e-03
   2.1204858e-03  1.8313741e-02]]",,151,غزلیات حافظ
151,"دمی با غم به سر بردن جهان يک سر نمی‌ارزد
به می بفروش دلق ما کز اين بهتر نمی‌ارزد
به کوی می فروشانش به جامی بر نمی‌گيرند
زهی سجاده تقوا که يک ساغر نمی‌ارزد
رقيبم سرزنش‌ها کرد کز اين به آب رخ برتاب
چه افتاد اين سر ما را که خاک در نمی‌ارزد
شکوه تاج سلطانی که بيم جان در او درج است
کلاهی دلکش است اما به ترک سر نمی‌ارزد
چه آسان می‌نمود اول غم دريا به بوی سود
غلط کردم که اين طوفان به صد گوهر نمی‌ارزد
تو را آن به که روی خود ز مشتاقان بپوشانی
که شادی جهان گيری غم لشکر نمی‌ارزد
چو حافظ در قناعت کوش و از دنيی دون بگذر
که يک جو منت دونان دو صد من زر نمی‌ارزد",[[0.00486725 0.00968577 0.00726225 ... 0.01050318 0.01667292 0.0178553 ]],,152,غزلیات حافظ
152,"در ازل پرتو حسنت ز تجلی دم زد
عشق پيدا شد و آتش به همه عالم زد
جلوه‌ای کرد رخت ديد ملک عشق نداشت
عين آتش شد از اين غيرت و بر آدم زد
عقل می‌خواست کز آن شعله چراغ افروزد
برق غيرت بدرخشيد و جهان برهم زد
مدعی خواست که آيد به تماشاگه راز
دست غيب آمد و بر سينه نامحرم زد
ديگران قرعه قسمت همه بر عيش زدند
دل غمديده ما بود که هم بر غم زد
جان علوی هوس چاه زنخدان تو داشت
دست در حلقه آن زلف خم اندر خم زد
حافظ آن روز طربنامه عشق تو نوشت
که قلم بر سر اسباب دل خرم زد",[[0.00995111 0.01563675 0.00290589 ... 0.00712634 0.00911043 0.01688059]],,153,غزلیات حافظ
153,"سحر چون خسرو خاور علم بر کوهساران زد
به دست مرحمت يارم در اميدواران زد
چو پيش صبح روشن شد که حال مهر گردون چيست
برآمد خنده خوش بر غرور کامگاران زد
نگارم دوش در مجلس به عزم رقص چون برخاست
گره بگشود از ابرو و بر دل‌های ياران زد
من از رنگ صلاح آن دم به خون دل بشستم دست
که چشم باده پيمايش صلا بر هوشياران زد
کدام آهن دلش آموخت اين آيين عياری
کز اول چون برون آمد ره شب زنده داران زد
خيال شهسواری پخت و شد ناگه دل مسکين
خداوندا نگه دارش که بر قلب سواران زد
در آب و رنگ رخسارش چه جان داديم و خون خورديم
چو نقشش دست داد اول رقم بر جان سپاران زد
منش با خرقه پشمين کجا اندر کمند آرم
زره مويی که مژگانش ره خنجرگزاران زد
شهنشاه مظفر فر شجاع ملک و دين منصور
که جود بی‌دريغش خنده بر ابر بهاران زد
از آن ساعت که جام می به دست او مشرف شد
زمانه ساغر شادی به ياد ميگساران زد
ز شمشير سرافشانش ظفر آن روز بدرخشيد
که چون خورشيد انجم سوز تنها بر هزاران زد
دوام عمر و ملک او بخواه از لطف حق ای دل
که چرخ اين سکه دولت به دور روزگاران زد
نظر بر قرعه توفيق و يمن دولت شاه است
بده کام دل حافظ که فال بختياران زد","[[ 1.2307168e-03  1.2828402e-04 -4.4992881e-05 ...  7.8579265e-04
  -2.4267594e-05 -5.5057451e-04]]",,154,غزلیات حافظ
154,"راهی بزن که آهی بر ساز آن توان زد
شعری بخوان که با او رطل گران توان زد
بر آستان جانان گر سر توان نهادن
گلبانگ سربلندی بر آسمان توان زد
قد خميده ما سهلت نمايد اما
بر چشم دشمنان تير از اين کمان توان زد
در خانقه نگنجد اسرار عشقبازی
جام می مغانه هم با مغان توان زد
درويش را نباشد برگ سرای سلطان
ماييم و کهنه دلقی کتش در آن توان زد
اهل نظر دو عالم در يک نظر ببازند
عشق است و داو اول بر نقد جان توان زد
گر دولت وصالت خواهد دری گشودن
سرها بدين تخيل بر آستان توان زد
عشق و شباب و رندی مجموعه مراد است
چون جمع شد معانی گوی بيان توان زد
شد رهزن سلامت زلف تو وين عجب نيست
گر راه زن تو باشی صد کاروان توان زد
حافظ به حق قرآن کز شيد و زرق بازآی
باشد که گوی عيشی در اين جهان توان زد","[[ 4.98105213e-03 -6.76694035e-05  1.19867725e-02 ...  1.87425409e-02
   6.10746862e-03  1.57979298e-02]]",,155,غزلیات حافظ
155,"اگر روم ز پی اش فتنه‌ها برانگيزد
ور از طلب بنشينم به کينه برخيزد
و گر به رهگذری يک دم از وفاداری
چو گرد در پی اش افتم چو باد بگريزد
و گر کنم طلب نيم بوسه صد افسوس
ز حقه دهنش چون شکر فروريزد
من آن فريب که در نرگس تو می‌بينم
بس آب روی که با خاک ره برآميزد
فراز و شيب بيابان عشق دام بلاست
کجاست شيردلی کز بلا نپرهيزد
تو عمر خواه و صبوری که چرخ شعبده باز
هزار بازی از اين طرفه‌تر برانگيزد
بر آستانه تسليم سر بنه حافظ
که گر ستيزه کنی روزگار بستيزد",[[0.00428846 0.03797982 0.01522693 ... 0.06028065 0.01157959 0.01418194]],,156,غزلیات حافظ
156,"به حسن و خلق و وفا کس به يار ما نرسد
تو را در اين سخن انکار کار ما نرسد
اگر چه حسن فروشان به جلوه آمده‌اند
کسی به حسن و ملاحت به يار ما نرسد
به حق صحبت ديرين که هيچ محرم راز
به يار يک جهت حق گزار ما نرسد
هزار نقش برآيد ز کلک صنع و يکی
به دلپذيری نقش نگار ما نرسد
هزار نقد به بازار کانات آرند
يکی به سکه صاحب عيار ما نرسد
دريغ قافله عمر کان چنان رفتند
که گردشان به هوای ديار ما نرسد
دلا ز رنج حسودان مرنج و واثق باش
که بد به خاطر اميدوار ما نرسد
چنان بزی که اگر خاک ره شوی کس را
غبار خاطری از ره گذار ما نرسد
بسوخت حافظ و ترسم که شرح قصه او
به سمع پادشه کامگار ما نرسد",[[0.00697287 0.01375453 0.00213648 ... 0.00597998 0.00952177 0.02051915]],,157,غزلیات حافظ
157,"هر که را با خط سبزت سر سودا باشد
پای از اين دايره بيرون ننهد تا باشد
من چو از خاک لحد لاله صفت برخيزم
داغ سودای توام سر سويدا باشد
تو خود ای گوهر يک دانه کجايی آخر
کز غمت ديده مردم همه دريا باشد
از بن هر مژه‌ام آب روان است بيا
اگرت ميل لب جوی و تماشا باشد
چون گل و می دمی از پرده برون آی و درآ
که دگرباره ملاقات نه پيدا باشد
ظل ممدود خم زلف توام بر سر باد
کاندر اين سايه قرار دل شيدا باشد
چشمت از ناز به حافظ نکند ميل آری
سرگرانی صفت نرگس رعنا باشد",[[0.00261887 0.007155   0.00158017 ... 0.00287811 0.0021501  0.02459884]],,158,غزلیات حافظ
158,"من و انکار شراب اين چه حکايت باشد
غالبا اين قدرم عقل و کفايت باشد
تا به غايت ره ميخانه نمی‌دانستم
ور نه مستوری ما تا به چه غايت باشد
زاهد و عجب و نماز و من و مستی و نياز
تا تو را خود ز ميان با که عنايت باشد
زاهد ار راه به رندی نبرد معذور است
عشق کاريست که موقوف هدايت باشد
من که شب‌ها ره تقوا زده‌ام با دف و چنگ
اين زمان سر به ره آرم چه حکايت باشد
بنده پير مغانم که ز جهلم برهاند
پير ما هر چه کند عين عنايت باشد
دوش از اين غصه نخفتم که رفيقی می‌گفت
حافظ ار مست بود جای شکايت باشد",[[0.00337269 0.00415194 0.00955364 ... 0.00310367 0.01287917 0.01394438]],,159,غزلیات حافظ
159,"نقد صوفی نه همه صافی بی‌غش باشد
ای بسا خرقه که مستوجب آتش باشد
صوفی ما که ز ورد سحری مست شدی
شامگاهش نگران باش که سرخوش باشد
خوش بود گر محک تجربه آيد به ميان
تا سيه روی شود هر که در او غش باشد
خط ساقی گر از اين گونه زند نقش بر آب
ای بسا رخ که به خونابه منقش باشد
ناز پرورد تنعم نبرد راه به دوست
عاشقی شيوه رندان بلاکش باشد
غم دنيی دنی چند خوری باده بخور
حيف باشد دل دانا که مشوش باشد
دلق و سجاده حافظ ببرد باده فروش
گر شرابش ز کف ساقی مه وش باشد",[[0.00272474 0.00086381 0.00471038 ... 0.00537775 0.01253191 0.02122139]],,160,غزلیات حافظ
160,"خوش است خلوت اگر يار يار من باشد
نه من بسوزم و او شمع انجمن باشد
من آن نگين سليمان به هيچ نستانم
که گاه گاه بر او دست اهرمن باشد
روا مدار خدايا که در حريم وصال
رقيب محرم و حرمان نصيب من باشد
همای گو مفکن سايه شرف هرگز
در آن ديار که طوطی کم از زغن باشد
بيان شوق چه حاجت که سوز آتش دل
توان شناخت ز سوزی که در سخن باشد
هوای کوی تو از سر نمی‌رود آری
غريب را دل سرگشته با وطن باشد
به سان سوسن اگر ده زبان شود حافظ
چو غنچه پيش تواش مهر بر دهن باشد","[[ 9.0292090e-04  1.2332966e-03  5.4795288e-05 ...  1.0297022e-02
  -4.1966420e-04  1.6978951e-02]]",,161,غزلیات حافظ
161,"کی شعر تر انگيزد خاطر که حزين باشد
يک نکته از اين معنی گفتيم و همين باشد
از لعل تو گر يابم انگشتری زنهار
صد ملک سليمانم در زير نگين باشد
غمناک نبايد بود از طعن حسود ای دل
شايد که چو وابينی خير تو در اين باشد
هر کو نکند فهمی زين کلک خيال انگيز
نقشش به حرام ار خود صورتگر چين باشد
جام می و خون دل هر يک به کسی دادند
در دايره قسمت اوضاع چنين باشد
در کار گلاب و گل حکم ازلی اين بود
کاين شاهد بازاری وان پرده نشين باشد
آن نيست که حافظ را رندی بشد از خاطر
کاين سابقه پيشين تا روز پسين باشد",[[0.00551108 0.010957   0.0037472  ... 0.0172478  0.01280448 0.03195919]],,162,غزلیات حافظ
162,"خوش آمد گل وز آن خوشتر نباشد
که در دستت بجز ساغر نباشد
زمان خوشدلی درياب و در ياب
که دايم در صدف گوهر نباشد
غنيمت دان و می خور در گلستان
که گل تا هفته ديگر نباشد
ايا پرلعل کرده جام زرين
ببخشا بر کسی کش زر نباشد
بيا ای شيخ و از خمخانه ما
شرابی خور که در کوثر نباشد
بشوی اوراق اگر همدرس مايی
که علم عشق در دفتر نباشد
ز من بنيوش و دل در شاهدی بند
که حسنش بسته زيور نباشد
شرابی بی خمارم بخش يا رب
که با وی هيچ درد سر نباشد
من از جان بنده سلطان اويسم
اگر چه يادش از چاکر نباشد
به تاج عالم آرايش که خورشيد
چنين زيبنده افسر نباشد
کسی گيرد خطا بر نظم حافظ
که هيچش لطف در گوهر نباشد","[[ 1.8270586e-02 -2.2247594e-05  2.2334859e-03 ...  2.7417324e-03
   6.4176121e-03  8.2588512e-03]]",,163,غزلیات حافظ
163,"گل بی رخ يار خوش نباشد
بی باده بهار خوش نباشد
طرف چمن و طواف بستان
بی لاله عذار خوش نباشد
رقصيدن سرو و حالت گل
بی صوت هزار خوش نباشد
با يار شکرلب گل اندام
بی بوس و کنار خوش نباشد
هر نقش که دست عقل بندد
جز نقش نگار خوش نباشد
جان نقد محقر است حافظ
از بهر نثار خوش نباشد",[[0.0047023  0.00024326 0.0012281  ... 0.05996554 0.00643579 0.0179987 ]],,164,غزلیات حافظ
164,"نفس باد صبا مشک فشان خواهد شد
عالم پير دگرباره جوان خواهد شد
ارغوان جام عقيقی به سمن خواهد داد
چشم نرگس به شقايق نگران خواهد شد
اين تطاول که کشيد از غم هجران بلبل
تا سراپرده گل نعره زنان خواهد شد
گر ز مسجد به خرابات شدم خرده مگير
مجلس وعظ دراز است و زمان خواهد شد
ای دل ار عشرت امروز به فردا فکنی
مايه نقد بقا را که ضمان خواهد شد
ماه شعبان منه از دست قدح کاين خورشيد
از نظر تا شب عيد رمضان خواهد شد
گل عزيز است غنيمت شمريدش صحبت
که به باغ آمد از اين راه و از آن خواهد شد
مطربا مجلس انس است غزل خوان و سرود
چند گويی که چنين رفت و چنان خواهد شد
حافظ از بهر تو آمد سوی اقليم وجود
قدمی نه به وداعش که روان خواهد شد","[[ 1.9538349e-03 -1.0938216e-05  2.8577615e-03 ...  4.5834299e-02
   8.9334128e-03  1.8718075e-02]]",,165,غزلیات حافظ
165,"مرا مهر سيه چشمان ز سر بيرون نخواهد شد
قضای آسمان است اين و ديگرگون نخواهد شد
رقيب آزارها فرمود و جای آشتی نگذاشت
مگر آه سحرخيزان سوی گردون نخواهد شد
مرا روز ازل کاری بجز رندی نفرمودند
هر آن قسمت که آن جا رفت از آن افزون نخواهد شد
خدا را محتسب ما را به فرياد دف و نی بخش
که ساز شرع از اين افسانه بی‌قانون نخواهد شد
مجال من همين باشد که پنهان عشق او ورزم
کنار و بوس و آغوشش چه گويم چون نخواهد شد
شراب لعل و جای امن و يار مهربان ساقی
دلا کی به شود کارت اگر اکنون نخواهد شد
مشوی ای ديده نقش غم ز لوح سينه حافظ
که زخم تيغ دلدار است و رنگ خون نخواهد شد",[[0.02075569 0.00077857 0.0013786  ... 0.03188473 0.00700165 0.02732957]],,166,غزلیات حافظ
166,"روز هجران و شب فرقت يار آخر شد
زدم اين فال و گذشت اختر و کار آخر شد
آن همه ناز و تنعم که خزان می‌فرمود
عاقبت در قدم باد بهار آخر شد
شکر ايزد که به اقبال کله گوشه گل
نخوت باد دی و شوکت خار آخر شد
صبح اميد که بد معتکف پرده غيب
گو برون آی که کار شب تار آخر شد
آن پريشانی شب‌های دراز و غم دل
همه در سايه گيسوی نگار آخر شد
باورم نيست ز بدعهدی ايام هنوز
قصه غصه که در دولت يار آخر شد
ساقيا لطف نمودی قدحت پرمی باد
که به تدبير تو تشويش خمار آخر شد
در شمار ار چه نياورد کسی حافظ را
شکر کان محنت بی‌حد و شمار آخر شد","[[9.7789597e-03 2.3535618e-05 6.0392972e-03 ... 1.6347578e-02
  1.2595795e-02 8.5697630e-03]]",,167,غزلیات حافظ
167,"ستاره‌ای بدرخشيد و ماه مجلس شد
دل رميده ما را رفيق و مونس شد
نگار من که به مکتب نرفت و خط ننوشت
به غمزه مسله آموز صد مدرس شد
به بوی او دل بيمار عاشقان چو صبا
فدای عارض نسرين و چشم نرگس شد
به صدر مصطبه‌ام می‌نشاند اکنون دوست
گدای شهر نگه کن که مير مجلس شد
خيال آب خضر بست و جام اسکندر
به جرعه نوشی سلطان ابوالفوارس شد
طربسرای محبت کنون شود معمور
که طاق ابروی يار منش مهندس شد
لب از ترشح می پاک کن برای خدا
که خاطرم به هزاران گنه موسوس شد
کرشمه تو شرابی به عاشقان پيمود
که علم بی‌خبر افتاد و عقل بی‌حس شد
چو زر عزيز وجود است نظم من آری
قبول دولتيان کيميای اين مس شد
ز راه ميکده ياران عنان بگردانيد
چرا که حافظ از اين راه رفت و مفلس شد","[[ 7.0032980e-03 -2.7369226e-05  1.1064445e-02 ...  1.4530846e-02
   4.6037524e-03  1.3993163e-02]]",,168,غزلیات حافظ
168,"گداخت جان که شود کار دل تمام و نشد
بسوختيم در اين آرزوی خام و نشد
به لابه گفت شبی مير مجلس تو شوم
شدم به رغبت خويشش کمين غلام و نشد
پيام داد که خواهم نشست با رندان
بشد به رندی و دردی کشيم نام و نشد
رواست در بر اگر می‌طپد کبوتر دل
که ديد در ره خود تاب و پيچ دام و نشد
بدان هوس که به مستی ببوسم آن لب لعل
چه خون که در دلم افتاد همچو جام و نشد
به کوی عشق منه بی‌دليل راه قدم
که من به خويش نمودم صد اهتمام و نشد
فغان که در طلب گنج نامه مقصود
شدم خراب جهانی ز غم تمام و نشد
دريغ و درد که در جست و جوی گنج حضور
بسی شدم به گدايی بر کرام و نشد
هزار حيله برانگيخت حافظ از سر فکر
در آن هوس که شود آن نگار رام و نشد",[[0.00010438 0.01025327 0.00956933 ... 0.04787611 0.01080996 0.00585266]],,169,غزلیات حافظ
169,"ياری اندر کس نمی‌بينيم ياران را چه شد
دوستی کی آخر آمد دوستداران را چه شد
آب حيوان تيره گون شد خضر فرخ پی کجاست
خون چکيد از شاخ گل باد بهاران را چه شد
کس نمی‌گويد که ياری داشت حق دوستی
حق شناسان را چه حال افتاد ياران را چه شد
لعلی از کان مروت برنيامد سال‌هاست
تابش خورشيد و سعی باد و باران را چه شد
شهر ياران بود و خاک مهربانان اين ديار
مهربانی کی سر آمد شهرياران را چه شد
گوی توفيق و کرامت در ميان افکنده‌اند
کس به ميدان در نمی‌آيد سواران را چه شد
صد هزاران گل شکفت و بانگ مرغی برنخاست
عندليبان را چه پيش آمد هزاران را چه شد
زهره سازی خوش نمی‌سازد مگر عودش بسوخت
کس ندارد ذوق مستی ميگساران را چه شد
حافظ اسرار الهی کس نمی‌داند خموش
از که می‌پرسی که دور روزگاران را چه شد",[[0.0021937  0.01502712 0.00613674 ... 0.02302519 0.00555499 0.01475045]],,170,غزلیات حافظ
170,"زاهد خلوت نشين دوش به ميخانه شد
از سر پيمان برفت با سر پيمانه شد
صوفی مجلس که دی جام و قدح می‌شکست
باز به يک جرعه می عاقل و فرزانه شد
شاهد عهد شباب آمده بودش به خواب
باز به پيرانه سر عاشق و ديوانه شد
مغبچه‌ای می‌گذشت راه زن دين و دل
در پی آن آشنا از همه بيگانه شد
آتش رخسار گل خرمن بلبل بسوخت
چهره خندان شمع آفت پروانه شد
گريه شام و سحر شکر که ضايع نگشت
قطره باران ما گوهر يک دانه شد
نرگس ساقی بخواند آيت افسونگری
حلقه اوراد ما مجلس افسانه شد
منزل حافظ کنون بارگه پادشاست
دل بر دلدار رفت جان بر جانانه شد",[[0.00660466 0.0032722  0.00721113 ... 0.01944503 0.0068773  0.01159421]],,171,غزلیات حافظ
171,"دوش از جناب آصف پيک بشارت آمد
کز حضرت سليمان عشرت اشارت آمد
خاک وجود ما را از آب ديده گل کن
ويرانسرای دل را گاه عمارت آمد
اين شرح بی‌نهايت کز زلف يار گفتند
حرفيست از هزاران کاندر عبارت آمد
عيبم بپوش زنهار ای خرقه می آلود
کان پاک پاکدامن بهر زيارت آمد
امروز جای هر کس پيدا شود ز خوبان
کان ماه مجلس افروز اندر صدارت آمد
بر تخت جم که تاجش معراج آسمان است
همت نگر که موری با آن حقارت آمد
از چشم شوخش ای دل ايمان خود نگه دار
کان جادوی کمانکش بر عزم غارت آمد
آلوده‌ای تو حافظ فيضی ز شاه درخواه
کان عنصر سماحت بهر طهارت آمد
درياست مجلس او درياب وقت و در ياب
هان ای زيان رسيده وقت تجارت آمد",[[0.00477772 0.00073284 0.01846503 ... 0.0151136  0.00318742 0.0234128 ]],,172,غزلیات حافظ
172,"عشق تو نهال حيرت آمد
وصل تو کمال حيرت آمد
بس غرقه حال وصل کخر
هم بر سر حال حيرت آمد
يک دل بنما که در ره او
بر چهره نه خال حيرت آمد
نه وصل بماند و نه واصل
آن جا که خيال حيرت آمد
از هر طرفی که گوش کردم
آواز سال حيرت آمد
شد منهزم از کمال عزت
آن را که جلال حيرت آمد
سر تا قدم وجود حافظ
در عشق نهال حيرت آمد","[[ 5.7878233e-03 -5.5768680e-05  6.1209905e-03 ... -1.0162023e-03
   1.0359933e-02  2.1191215e-02]]",,173,غزلیات حافظ
173,"در نمازم خم ابروی تو با ياد آمد
حالتی رفت که محراب به فرياد آمد
از من اکنون طمع صبر و دل و هوش مدار
کان تحمل که تو ديدی همه بر باد آمد
باده صافی شد و مرغان چمن مست شدند
موسم عاشقی و کار به بنياد آمد
بوی بهبود ز اوضاع جهان می‌شنوم
شادی آورد گل و باد صبا شاد آمد
ای عروس هنر از بخت شکايت منما
حجله حسن بيارای که داماد آمد
دلفريبان نباتی همه زيور بستند
دلبر ماست که با حسن خداداد آمد
زير بارند درختان که تعلق دارند
ای خوشا سرو که از بار غم آزاد آمد
مطرب از گفته حافظ غزلی نغز بخوان
تا بگويم که ز عهد طربم ياد آمد",[[0.00155966 0.01473318 0.00584546 ... 0.01469944 0.01290866 0.01542425]],,174,غزلیات حافظ
174,"مژده ای دل که دگر باد صبا بازآمد
هدهد خوش خبر از طرف سبا بازآمد
برکش ای مرغ سحر نغمه داوودی باز
که سليمان گل از باد هوا بازآمد
عارفی کو که کند فهم زبان سوسن
تا بپرسد که چرا رفت و چرا بازآمد
مردمی کرد و کرم لطف خداداد به من
کان بت ماه رخ از راه وفا بازآمد
لاله بوی می نوشين بشنيد از دم صبح
داغ دل بود به اميد دوا بازآمد
چشم من در ره اين قافله راه بماند
تا به گوش دلم آواز درا بازآمد
گر چه حافظ در رنجش زد و پيمان بشکست
لطف او بين که به لطف از در ما بازآمد",[[0.01071615 0.00511159 0.00538758 ... 0.01700282 0.00271916 0.01241264]],,175,غزلیات حافظ
175,"صبا به تهنيت پير می فروش آمد
که موسم طرب و عيش و ناز و نوش آمد
هوا مسيح نفس گشت و باد نافه گشای
درخت سبز شد و مرغ در خروش آمد
تنور لاله چنان برفروخت باد بهار
که غنچه غرق عرق گشت و گل به جوش آمد
به گوش هوش نيوش از من و به عشرت کوش
که اين سخن سحر از هاتفم به گوش آمد
ز فکر تفرقه بازآی تا شوی مجموع
به حکم آن که چو شد اهرمن سروش آمد
ز مرغ صبح ندانم که سوسن آزاد
چه گوش کرد که با ده زبان خموش آمد
چه جای صحبت نامحرم است مجلس انس
سر پياله بپوشان که خرقه پوش آمد
ز خانقاه به ميخانه می‌رود حافظ
مگر ز مستی زهد ريا به هوش آمد",[[0.00563393 0.00090223 0.00459533 ... 0.01029428 0.00229156 0.01537685]],,176,غزلیات حافظ
176,"سحرم دولت بيدار به بالين آمد
گفت برخيز که آن خسرو شيرين آمد
قدحی درکش و سرخوش به تماشا بخرام
تا ببينی که نگارت به چه آيين آمد
مژدگانی بده ای خلوتی نافه گشای
که ز صحرای ختن آهوی مشکين آمد
گريه آبی به رخ سوختگان بازآورد
ناله فريادرس عاشق مسکين آمد
مرغ دل باز هوادار کمان ابرويست
ای کبوتر نگران باش که شاهين آمد
ساقيا می بده و غم مخور از دشمن و دوست
که به کام دل ما آن بشد و اين آمد
رسم بدعهدی ايام چو ديد ابر بهار
گريه‌اش بر سمن و سنبل و نسرين آمد
چون صبا گفته حافظ بشنيد از بلبل
عنبرافشان به تماشای رياحين آمد","[[ 2.8318032e-03 -3.6489353e-05  4.0642223e-03 ...  1.3945253e-02
   2.1093013e-02  1.1279442e-02]]",,177,غزلیات حافظ
177,"نه هر که چهره برافروخت دلبری داند
نه هر که آينه سازد سکندری داند
نه هر که طرف کله کج نهاد و تند نشست
کلاه داری و آيين سروری داند
تو بندگی چو گدايان به شرط مزد مکن
که دوست خود روش بنده پروری داند
غلام همت آن رند عافيت سوزم
که در گداصفتی کيمياگری داند
وفا و عهد نکو باشد ار بياموزی
وگرنه هر که تو بينی ستمگری داند
بباختم دل ديوانه و ندانستم
که آدمی بچه‌ای شيوه پری داند
هزار نکته باريکتر ز مو اين جاست
نه هر که سر بتراشد قلندری داند
مدار نقطه بينش ز خال توست مرا
که قدر گوهر يک دانه جوهری داند
به قد و چهره هر آن کس که شاه خوبان شد
جهان بگيرد اگر دادگستری داند
ز شعر دلکش حافظ کسی بود آگاه
که لطف طبع و سخن گفتن دری داند","[[ 0.0015969   0.00028893  0.00173296 ...  0.00342453 -0.00044782
   0.00530558]]",,178,غزلیات حافظ
178,"هر که شد محرم دل در حرم يار بماند
وان که اين کار ندانست در انکار بماند
اگر از پرده برون شد دل من عيب مکن
شکر ايزد که نه در پرده پندار بماند
صوفيان واستدند از گرو می همه رخت
دلق ما بود که در خانه خمار بماند
محتسب شيخ شد و فسق خود از ياد ببرد
قصه ماست که در هر سر بازار بماند
هر می لعل کز آن دست بلورين ستديم
آب حسرت شد و در چشم گهربار بماند
جز دل من کز ازل تا به ابد عاشق رفت
جاودان کس نشنيديم که در کار بماند
گشت بيمار که چون چشم تو گردد نرگس
شيوه تو نشدش حاصل و بيمار بماند
از صدای سخن عشق نديدم خوشتر
يادگاری که در اين گنبد دوار بماند
داشتم دلقی و صد عيب مرا می‌پوشيد
خرقه رهن می و مطرب شد و زنار بماند
بر جمال تو چنان صورت چين حيران شد
که حديثش همه جا در در و ديوار بماند
به تماشاگه زلفش دل حافظ روزی
شد که بازآيد و جاويد گرفتار بماند",[[0.00718138 0.01068524 0.00725659 ... 0.00567013 0.01040913 0.01869387]],,179,غزلیات حافظ
179,"رسيد مژده که ايام غم نخواهد ماند
چنان نماند چنين نيز هم نخواهد ماند
من ار چه در نظر يار خاکسار شدم
رقيب نيز چنين محترم نخواهد ماند
چو پرده دار به شمشير می‌زند همه را
کسی مقيم حريم حرم نخواهد ماند
چه جای شکر و شکايت ز نقش نيک و بد است
چو بر صحيفه هستی رقم نخواهد ماند
سرود مجلس جمشيد گفته‌اند اين بود
که جام باده بياور که جم نخواهد ماند
غنيمتی شمر ای شمع وصل پروانه
که اين معامله تا صبحدم نخواهد ماند
توانگرا دل درويش خود به دست آور
که مخزن زر و گنج درم نخواهد ماند
بدين رواق زبرجد نوشته‌اند به زر
که جز نکويی اهل کرم نخواهد ماند
ز مهربانی جانان طمع مبر حافظ
که نقش جور و نشان ستم نخواهد ماند",[[0.00315066 0.01120572 0.00492014 ... 0.0204562  0.00928068 0.02288713]],,180,غزلیات حافظ
