,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
29,LASER,14,باید حق‌جو وعدالت‌پیشه باشیم,376,ما شبی دست برآریم و دعایی بکنیم غم هجران تو را چاره ز جایی بکنیم دل بیمار شد از دست رفیقان مددی تا طبیبش به سر آریم و دوایی بکنیم آن که بی جرم برنجید و به تیغم زد و رفت بازش آرید خدا را که صفایی بکنیم خشک شد بیخ طرب راه خرابات کجاست تا در آن آب و هوا نشو و نمایی بکنیم مدد از خاطر رندان طلب ای دل ور نه کار صعب است مبادا که خطایی بکنیم سایه طایر کم حوصله کاری نکند طلب از سایه میمون همایی بکنیم دلم از پرده بشد حافظ خوشگوی کجاست تا به قول و غزلش ساز نوایی بکنیم,2,"[[4.0458050e-03 1.9489114e-05 9.0207171e-04 ... 2.8033799e-03
  6.3439971e-03 1.8883845e-02]]","[[ 0.02793087 -0.00010644 -0.00187019 ...  0.00846475  0.01684454
   0.01805801]]"
30,LASER,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,43,کنون که بر کف گل جام باده صاف است به صد هزار زبان بلبلش در اوصاف است بخواه دفتر اشعار و راه صحرا گیر چه وقت مدرسه و بحث کشف کشاف است فقیه مدرسه دی مست بود و فتوی داد که می حرام ولی به ز مال اوقاف است به درد و صاف تو را حکم نیست خوش درکش که هر چه ساقی ما کرد عین الطاف است ببر ز خلق و چو عنقا قیاس کار بگیر که صیت گوشه نشینان ز قاف تا قاف است حدیث مدعیان و خیال همکاران همان حکایت زردوز و بوریاباف است خموش حافظ و این نکته‌های چون زر سرخ نگاه دار که قلاب شهر صراف است,1,"[[ 0.00594497 -0.00010064  0.00041128 ...  0.01334685  0.01324414
   0.03680826]]","[[ 0.00890401 -0.00015182  0.02609196 ...  0.01162193  0.02658374
   0.01360859]]"
31,LASER,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,301,خوش خبر باشی ای نسیم شمال که به ما می‌رسد زمان وصال قصه العشق لا انفصام لها فصمت‌ها هنا لسان القال مالسلمی و من بذی سلم این جیراننا و کیف الحال عفت الدار بعد عافیه فاسالوا حالها عن الاطلال فی جمال الکمال نلت منی صرف الله عنک عین کمال یا برید الحمی حماک الله مرحبا مرحبا تعال تعال عرصه بزمگاه خالی ماند از حریفان و جام مالامال سایه افکند حالیا شب هجر تا چه بازند شب روان خیال ترک ما سوی کس نمی‌نگرد آه از این کبریا و جاه و جلال حافظا عشق و صابری تا چند ناله عاشقان خوش است بنال,2,"[[ 0.00594497 -0.00010064  0.00041128 ...  0.01334685  0.01324414
   0.03680826]]","[[ 1.29491780e-02 -3.59678015e-05  7.46231852e-03 ...  7.93682225e-03
   1.44538805e-02  4.68891747e-02]]"
32,LASER,16,نباید از دیگران درخواست های متعدد داشت,185,گر می فروش حاجت رندان روا کند ایزد گنه ببخشد و دفع بلا کند ساقی به جام عدل بده باده تا گدا غیرت نیاورد که جهان پربلا کند حقا کز این غمان برسد مژده امان گر سالکی به عهد امانت وفا کند گر رنج پیش آید و گر راحت ای حکیم نسبت مکن به غیر که این‌ها خدا کند در کارخانه‌ای که ره عقل و فضل نیست فهم ضعیف رای فضولی چرا کند مطرب بساز پرده که کس بی اجل نمرد وان کو نه این ترانه سراید خطا کند ما را که درد عشق و بلای خمار کشت یا وصل دوست یا می صافی دوا کند جان رفت در سر می و حافظ به عشق سوخت عیسی دمی کجاست که احیای ما کند,1,"[[ 3.8175348e-02 -2.1831013e-06  1.6906104e-03 ...  8.4535702e-04
   1.4507822e-02  2.0851033e-02]]","[[ 0.01976448  0.00286462  0.00775197 ... -0.00059783  0.0048554
   0.04238909]]"
33,LASER,16,نباید از دیگران درخواست های متعدد داشت,116,دل ما به دور رویت ز چمن فراغ دارد که چو سرو پایبند است و چو لاله داغ دارد سر ما فرونیاید به کمان ابروی کس که درون گوشه گیران ز جهان فراغ دارد ز بنفشه تاب دارم که ز زلف او زند دم تو سیاه کم بها بین که چه در دماغ دارد به چمن خرام و بنگر بر تخت گل که لاله به ندیم شاه ماند که به کف ایاغ دارد شب ظلمت و بیابان به کجا توان رسیدن مگر آن که شمع رویت به رهم چراغ دارد من و شمع صبحگاهی سزد ار به هم بگرییم که بسوختیم و از ما بت ما فراغ دارد سزدم چو ابر بهمن که بر این چمن بگریم طرب آشیان بلبل بنگر که زاغ دارد سر درس عشق دارد دل دردمند حافظ که نه خاطر تماشا نه هوای باغ دارد,2,"[[ 3.8175348e-02 -2.1831013e-06  1.6906104e-03 ...  8.4535702e-04
   1.4507822e-02  2.0851033e-02]]","[[ 0.02690586 -0.00019405 -0.00125722 ... -0.00093816  0.01734427
   0.03522993]]"
34,LASER,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,273,به دور لاله قدح گیر و بی‌ریا می‌باش به بوی گل نفسی همدم صبا می‌باش نگویمت که همه ساله می پرستی کن سه ماه می خور و نه ماه پارسا می‌باش چو پیر سالک عشقت به می حواله کند بنوش و منتظر رحمت خدا می‌باش گرت هواست که چون جم به سر غیب رسی بیا و همدم جام جهان نما می‌باش چو غنچه گر چه فروبستگیست کار جهان تو همچو باد بهاری گره گشا می‌باش وفا مجوی ز کس ور سخن نمی‌شنوی به هرزه طالب سیمرغ و کیمیا می‌باش مرید طاعت بیگانگان مشو حافظ ولی معاشر رندان پارسا می‌باش,1,"[[ 0.04510034 -0.0001079   0.00115818 ...  0.01884514  0.03355652
   0.04283478]]","[[ 4.8308779e-02 -3.4340748e-05  2.0039822e-03 ...  2.2770404e-03
   2.3784269e-02  4.6309549e-02]]"
35,LASER,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,67,ماهم این هفته برون رفت و به چشمم سالیست حال هجران تو چه دانی که چه مشکل حالیست مردم دیده ز لطف رخ او در رخ او عکس خود دید گمان برد که مشکین خالیست می‌چکد شیر هنوز از لب همچون شکرش گر چه در شیوه گری هر مژه‌اش قتالیست ای که انگشت نمایی به کرم در همه شهر وه که در کار غریبان عجبت اهمالیست بعد از اینم نبود شابه در جوهر فرد که دهان تو در این نکته خوش استدلالیست مژده دادند که بر ما گذری خواهی کرد نیت خیر مگردان که مبارک فالیست کوه اندوه فراقت به چه حالت بکشد حافظ خسته که از ناله تنش چون نالیست,2,"[[ 0.04510034 -0.0001079   0.00115818 ...  0.01884514  0.03355652
   0.04283478]]","[[ 0.04717535 -0.00016636  0.00233834 ...  0.01568107  0.01500359
   0.06286162]]"
36,LASER,18,نباید اندوهگین شد,198,واعظان کاین جلوه در محراب و منبر می‌کنند چون به خلوت می‌روند آن کار دیگر می‌کنند مشکلی دارم ز دانشمند مجلس بازپرس توبه فرمایان چرا خود توبه کمتر می‌کنند گوییا باور نمی‌دارند روز داوری کاین همه قلب و دغل در کار داور می‌کنند یا رب این نودولتان را با خر خودشان نشان کاین همه ناز از غلام ترک و استر می‌کنند ای گدای خانقه برجه که در دیر مغان می‌دهند آبی که دل‌ها را توانگر می‌کنند حسن بی‌پایان او چندان که عاشق می‌کشد زمره دیگر به عشق از غیب سر بر می‌کنند بر در میخانه عشق ای ملک تسبیح گوی کاندر آن جا طینت آدم مخمر می‌کنند صبحدم از عرش می‌آمد خروشی عقل گفت قدسیان گویی که شعر حافظ از بر می‌کنند,1,"[[ 4.0874558e-05 -1.4626814e-04  2.7156135e-03 ...  8.6285807e-03
   6.6653281e-02 -5.5837195e-04]]","[[ 1.7097902e-02 -2.6723035e-06  4.9828090e-05 ...  1.3454546e-02
   5.2621387e-02  1.0780392e-02]]"
37,LASER,18,نباید اندوهگین شد,322,ز دست کوته خود زیر بارم که از بالابلندان شرمسارم مگر زنجیر مویی گیردم دست وگر نه سر به شیدایی برآرم ز چشم من بپرس اوضاع گردون که شب تا روز اختر می‌شمارم بدین شکرانه می‌بوسم لب جام که کرد آگه ز راز روزگارم اگر گفتم دعای می فروشان چه باشد حق نعمت می‌گزارم من از بازوی خود دارم بسی شکر که زور مردم آزاری ندارم سری دارم چو حافظ مست لیکن به لطف آن سری امیدوارم,2,"[[ 4.0874558e-05 -1.4626814e-04  2.7156135e-03 ...  8.6285807e-03
   6.6653281e-02 -5.5837195e-04]]","[[ 0.0035826  -0.0001473  -0.00036519 ...  0.00054697  0.00989799
   0.03186358]]"
38,LASER,19,باید اهل یادگیری و دانش باشیم,180,بعد از این دست من و دامن آن سرو بلند که به بالای چمان از بن و بیخم برکند حاجت مطرب و می نیست تو برقع بگشا که به رقص آوردم آتش رویت چو سپند هیچ رویی نشود آینه حجله بخت مگر آن روی که مالند در آن سم سمند گفتم اسرار غمت هر چه بود گو می‌باش صبر از این بیش ندارم چه کنم تا کی و چند مکش آن آهوی مشکین مرا ای صیاد شرم از آن چشم سیه دار و مبندش به کمند من خاکی که از این در نتوانم برخاست از کجا بوسه زنم بر لب آن قصر بلند باز مستان دل از آن گیسوی مشکین حافظ زان که دیوانه همان به که بود اندر بند,1,"[[ 0.00137201  0.00016719 -0.00057697 ...  0.00093856  0.00680032
   0.00805814]]","[[ 0.00243259  0.01379758  0.02031173 ... -0.00226406  0.00956045
   0.02397227]]"
39,LASER,19,باید اهل یادگیری و دانش باشیم,190,آن کیست کز روی کرم با ما وفاداری کند بر جای بدکاری چو من یک دم نکوکاری کند اول به بانگ نای و نی آرد به دل پیغام وی وان گه به یک پیمانه می با من وفاداری کند دلبر که جان فرسود از او کام دلم نگشود از او نومید نتوان بود از او باشد که دلداری کند گفتم گره نگشوده‌ام زان طره تا من بوده‌ام گفتا منش فرموده‌ام تا با تو طراری کند پشمینه پوش تندخو از عشق نشنیده‌است بو از مستیش رمزی بگو تا ترک هشیاری کند چون من گدای بی‌نشان مشکل بود یاری چنان سلطان کجا عیش نهان با رند بازاری کند زان طره پرپیچ و خم سهل است اگر بینم ستم از بند و زنجیرش چه غم هر کس که عیاری کند شد لشکر غم بی عدد از بخت می‌خواهم مدد تا فخر دین عبدالصمد باشد که غمخواری کند با چشم پرنیرنگ او حافظ مکن آهنگ او کان طره شبرنگ او بسیار طراری کند,2,"[[ 0.00137201  0.00016719 -0.00057697 ...  0.00093856  0.00680032
   0.00805814]]","[[ 0.00277896 -0.00062189  0.00281112 ...  0.00266688  0.01064606
   0.02287688]]"
40,LASER,20,باید مهربان بود,309,مرحبا طایر فرخ پی فرخنده پیام خیر مقدم چه خبر دوست کجا راه کدام یا رب این قافله را لطف ازل بدرقه باد که از او خصم به دام آمد و معشوقه به کام ماجرای من و معشوق مرا پایان نیست هر چه آغاز ندارد نپذیرد انجام گل ز حد برد تنعم نفسی رخ بنما سرو می‌نازد و خوش نیست خدا را بخرام زلف دلدار چو زنار همی‌فرماید برو ای شیخ که شد بر تن ما خرقه حرام مرغ روحم که همی‌زد ز سر سدره صفیر عاقبت دانه خال تو فکندش در دام چشم بیمار مرا خواب نه درخور باشد من له یقتل داY دنف کیف ینام تو ترحم نکنی بر من مخلص گفتم ذاک دعوای و ها انت و تلک الایام حافظ ار میل به ابروی تو دارد شاید جای در گوشه محراب کنند اهل کلام,1,"[[-2.8171539e-04 -5.0176973e-06  2.5408873e-03 ...  1.1221699e-02
   2.5694650e-02  1.0151894e-02]]",[[0.00408815 0.02467061 0.00256902 ... 0.00434249 0.00349305 0.00898673]]
41,LASER,20,باید مهربان بود,302,شممت روح وداد و شمت برق وصال بیا که بوی تو را میرم ای نسیم شمال احادیا بجمال الحبیب قف و انزل که نیست صبر جمیلم ز اشتیاق جمال حکایت شب هجران فروگذاشته به به شکر آن که برافکند پرده روز وصال بیا که پرده گلریز هفت خانه چشم کشیده‌ایم به تحریر کارگاه خیال چو یار بر سر صلح است و عذر می‌طلبد توان گذشت ز جور رقیب در همه حال بجز خیال دهان تو نیست در دل تنگ که کس مباد چو من در پی خیال محال قتیل عشق تو شد حافظ غریب ولی به خاک ما گذری کن که خون مات حلال,2,"[[-2.8171539e-04 -5.0176973e-06  2.5408873e-03 ...  1.1221699e-02
   2.5694650e-02  1.0151894e-02]]","[[ 0.00701601 -0.00022037 -0.00111713 ...  0.01768356  0.01601202
   0.01248993]]"
42,LASER,21,آخرت را بر دنیا باید ترجیح داد,357,غم زمانه که هیچش کران نمی‌بینم دواش جز می چون ارغوان نمی‌بینم به ترک خدمت پیر مغان نخواهم گفت چرا که مصلحت خود در آن نمی‌بینم ز آفتاب قدح ارتفاع عیش بگیر چرا که طالع وقت آن چنان نمی‌بینم نشان اهل خدا عاشقیست با خود دار که در مشایخ شهر این نشان نمی‌بینم بدین دو دیده حیران من هزار افسوس که با دو آینه رویش عیان نمی‌بینم قد تو تا بشد از جویبار دیده من به جای سرو جز آب روان نمی‌بینم در این خمار کسم جرعه‌ای نمی‌بخشد ببین که اهل دلی در میان نمی‌بینم نشان موی میانش که دل در او بستم ز من مپرس که خود در میان نمی‌بینم من و سفینه حافظ که جز در این دریا بضاعت سخن درفشان نمی‌بینم,1,"[[-2.2283115e-04 -1.6075460e-07 -3.2927252e-05 ... -3.2623223e-06
  -3.0708677e-04  4.7693667e-03]]","[[-1.4093911e-04 -1.9946756e-06 -4.8531940e-05 ... -2.2335729e-04
  -1.4344814e-03  5.8395125e-04]]"
43,LASER,21,آخرت را بر دنیا باید ترجیح داد,124,شاهد آن نیست که مویی و میانی دارد بنده طلعت آن باش که آنی دارد شیوه حور و پری گر چه لطیف است ولی خوبی آن است و لطافت که فلانی دارد چشمه چشم مرا ای گل خندان دریاب که به امید تو خوش آب روانی دارد گوی خوبی که برد از تو که خورشید آن جا نه سواریست که در دست عنانی دارد دل نشان شد سخنم تا تو قبولش کردی آری آری سخن عشق نشانی دارد خم ابروی تو در صنعت تیراندازی برده از دست هر آن کس که کمانی دارد در ره عشق نشد کس به یقین محرم راز هر کسی بر حسب فکر گمانی دارد با خرابات نشینان ز کرامات ملاف هر سخن وقتی و هر نکته مکانی دارد مرغ زیرک نزند در چمنش پرده سرای هر بهاری که به دنباله خزانی دارد مدعی گو لغز و نکته به حافظ مفروش کلک ما نیز زبانی و بیانی دارد,2,"[[-2.2283115e-04 -1.6075460e-07 -3.2927252e-05 ... -3.2623223e-06
  -3.0708677e-04  4.7693667e-03]]","[[9.1737616e-05 6.9987094e-05 5.8084209e-03 ... 3.5788249e-03
  5.3787317e-02 9.1039212e-03]]"
44,LASER,22,میزان موفقیت به اندازه میزان رنج و تلاش است,409,ای قبای پادشاهی راست بر بالای تو زینت تاج و نگین از گوهر والای تو آفتاب فتح را هر دم طلوعی می‌دهد از کلاه خسروی رخسار مه سیمای تو جلوه گاه طایر اقبال باشد هر کجا سایه‌اندازد همای چتر گردون سای تو از رسوم شرع و حکمت با هزاران اختلاف نکته‌ای هرگز نشد فوت از دل دانای تو آب حیوانش ز منقار بلاغت می‌چکد طوطی خوش لهجه یعنی کلک شکرخای تو گر چه خورشید فلک چشم و چراغ عالم است روشنایی بخش چشم اوست خاک پای تو آن چه اسکندر طلب کرد و ندادش روزگار جرعه‌ای بود از زلال جام جان افزای تو عرض حاجت در حریم حضرتت محتاج نیست راز کس مخفی نماند با فروغ رای تو خسروا پیرانه سر حافظ جوانی می‌کند بر امید عفو جان بخش گنه فرسای تو,1,"[[-0.00063733 -0.00016061  0.00084269 ...  0.01732044  0.01486191
   0.0125076 ]]","[[ 8.2241921e-03 -1.0910485e-03  9.3101429e-05 ...  3.7049553e-03
   2.9476698e-02  2.7088149e-02]]"
45,LASER,22,میزان موفقیت به اندازه میزان رنج و تلاش است,131,به آب روشن می عارفی طهارت کرد علی الصباح که میخانه را زیارت کرد همین که ساغر زرین خور نهان گردید هلال عید به دور قدح اشارت کرد خوشا نماز و نیاز کسی که از سر درد به آب دیده و خون جگر طهارت کرد امام خواجه که بودش سر نماز دراز به خون دختر رز خرقه را قصارت کرد دلم ز حلقه زلفش به جان خرید آشوب چه سود دید ندانم که این تجارت کرد اگر امام جماعت طلب کند امروز خبر دهید که حافظ به می طهارت کرد,2,"[[-0.00063733 -0.00016061  0.00084269 ...  0.01732044  0.01486191
   0.0125076 ]]","[[ 2.1853426e-02 -9.9660087e-05  6.1281002e-03 ...  2.3462394e-02
   3.0926596e-02  1.0174906e-02]]"
46,LASER,23,باید فرزندان خود را به خوبی تربیت کنیم,349,به عزم توبه سحر گفتم استخاره کنم بهار توبه شکن می‌رسد چه چاره کنم سخن درست بگویم نمی‌توانم دید که می خورند حریفان و من نظاره کنم چو غنچه با لب خندان به یاد مجلس شاه پیاله گیرم و از شوق جامه پاره کنم به دور لاله دماغ مرا علاج کنید گر از میانه بزم طرب کناره کنم ز روی دوست مرا چون گل مراد شکفت حواله سر دشمن به سنگ خاره کنم گدای میکده‌ام لیک وقت مستی بین که ناز بر فلک و حکم بر ستاره کنم مرا که نیست ره و رسم لقمه پرهیزی چرا ملامت رند شرابخواره کنم به تخت گل بنشانم بتی چو سلطانی ز سنبل و سمنش ساز طوق و یاره کنم ز باده خوردن پنهان ملول شد حافظ به بانگ بربط و نی رازش آشکاره کنم,1,"[[ 0.00290889 -0.0001101   0.00229777 ...  0.00205643  0.01013283
   0.00560831]]","[[ 9.7305741e-04 -8.1906968e-05 -1.3428721e-04 ...  2.7035814e-02
   3.4273472e-02  1.7317572e-04]]"
47,LASER,23,باید فرزندان خود را به خوبی تربیت کنیم,60,صبا اگر گذری افتدت به کشور دوست بیار نفحه‌ای از گیسوی معنبر دوست به جان او که به شکرانه جان برافشانم اگر به سوی من آری پیامی از بر دوست و گر چنان که در آن حضرتت نباشد بار برای دیده بیاور غباری از در دوست من گدا و تمنای وصل او هیهات مگر به خواب ببینم خیال منظر دوست دل صنوبریم همچو بید لرزان است ز حسرت قد و بالای چون صنوبر دوست اگر چه دوست به چیزی نمی‌خرد ما را به عالمی نفروشیم مویی از سر دوست چه باشد ار شود از بند غم دلش آزاد چو هست حافظ مسکین غلام و چاکر دوست,2,"[[ 0.00290889 -0.0001101   0.00229777 ...  0.00205643  0.01013283
   0.00560831]]","[[ 4.2046970e-03 -7.8910096e-05  2.2221958e-02 ...  2.3060067e-02
   2.5125673e-02  1.4661180e-02]]"
48,LASER,24,باید در برابر مشکلات استقامت داشته باشیم,60,صبا اگر گذری افتدت به کشور دوست بیار نفحه‌ای از گیسوی معنبر دوست به جان او که به شکرانه جان برافشانم اگر به سوی من آری پیامی از بر دوست و گر چنان که در آن حضرتت نباشد بار برای دیده بیاور غباری از در دوست من گدا و تمنای وصل او هیهات مگر به خواب ببینم خیال منظر دوست دل صنوبریم همچو بید لرزان است ز حسرت قد و بالای چون صنوبر دوست اگر چه دوست به چیزی نمی‌خرد ما را به عالمی نفروشیم مویی از سر دوست چه باشد ار شود از بند غم دلش آزاد چو هست حافظ مسکین غلام و چاکر دوست,1,"[[5.0015226e-03 6.0587190e-05 1.3374460e-02 ... 9.7392108e-03
  3.1655040e-02 1.6113859e-02]]","[[ 4.2046970e-03 -7.8910096e-05  2.2221958e-02 ...  2.3060067e-02
   2.5125673e-02  1.4661180e-02]]"
49,LASER,24,باید در برابر مشکلات استقامت داشته باشیم,409,ای قبای پادشاهی راست بر بالای تو زینت تاج و نگین از گوهر والای تو آفتاب فتح را هر دم طلوعی می‌دهد از کلاه خسروی رخسار مه سیمای تو جلوه گاه طایر اقبال باشد هر کجا سایه‌اندازد همای چتر گردون سای تو از رسوم شرع و حکمت با هزاران اختلاف نکته‌ای هرگز نشد فوت از دل دانای تو آب حیوانش ز منقار بلاغت می‌چکد طوطی خوش لهجه یعنی کلک شکرخای تو گر چه خورشید فلک چشم و چراغ عالم است روشنایی بخش چشم اوست خاک پای تو آن چه اسکندر طلب کرد و ندادش روزگار جرعه‌ای بود از زلال جام جان افزای تو عرض حاجت در حریم حضرتت محتاج نیست راز کس مخفی نماند با فروغ رای تو خسروا پیرانه سر حافظ جوانی می‌کند بر امید عفو جان بخش گنه فرسای تو,2,"[[5.0015226e-03 6.0587190e-05 1.3374460e-02 ... 9.7392108e-03
  3.1655040e-02 1.6113859e-02]]","[[ 8.2241921e-03 -1.0910485e-03  9.3101429e-05 ...  3.7049553e-03
   2.9476698e-02  2.7088149e-02]]"
50,LASER,25,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,98,دل من در هوای روی فرخ بود آشفته همچون موی فرخ بجز هندوی زلفش هیچ کس نیست که برخوردار شد از روی فرخ سیاهی نیکبخت است آن که دایم بود همراز و هم زانوی فرخ شود چون بید لرزان سرو آزاد اگر بیند قد دلجوی فرخ بده ساقی شراب ارغوانی به یاد نرگس جادوی فرخ دوتا شد قامتم همچون کمانی ز غم پیوسته چون ابروی فرخ نسیم مشک تاتاری خجل کرد شمیم زلف عنبربوی فرخ اگر میل دل هر کس به جایست بود میل دل من سوی فرخ غلام همت آنم که باشد چو حافظ بنده و هندوی فرخ,1,"[[ 0.02445431 -0.00027549  0.00305093 ...  0.00450747  0.01264203
   0.02758254]]","[[ 2.4216639e-02 -1.9734767e-05  7.4064871e-03 ... -1.5405426e-03
   1.9693740e-02  1.6965650e-02]]"
51,LASER,25,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,376,ما شبی دست برآریم و دعایی بکنیم غم هجران تو را چاره ز جایی بکنیم دل بیمار شد از دست رفیقان مددی تا طبیبش به سر آریم و دوایی بکنیم آن که بی جرم برنجید و به تیغم زد و رفت بازش آرید خدا را که صفایی بکنیم خشک شد بیخ طرب راه خرابات کجاست تا در آن آب و هوا نشو و نمایی بکنیم مدد از خاطر رندان طلب ای دل ور نه کار صعب است مبادا که خطایی بکنیم سایه طایر کم حوصله کاری نکند طلب از سایه میمون همایی بکنیم دلم از پرده بشد حافظ خوشگوی کجاست تا به قول و غزلش ساز نوایی بکنیم,2,"[[ 0.02445431 -0.00027549  0.00305093 ...  0.00450747  0.01264203
   0.02758254]]","[[ 0.02793087 -0.00010644 -0.00187019 ...  0.00846475  0.01684454
   0.01805801]]"
52,LASER,26,انسان نباید فخر فروشی داشته باشد.,43,کنون که بر کف گل جام باده صاف است به صد هزار زبان بلبلش در اوصاف است بخواه دفتر اشعار و راه صحرا گیر چه وقت مدرسه و بحث کشف کشاف است فقیه مدرسه دی مست بود و فتوی داد که می حرام ولی به ز مال اوقاف است به درد و صاف تو را حکم نیست خوش درکش که هر چه ساقی ما کرد عین الطاف است ببر ز خلق و چو عنقا قیاس کار بگیر که صیت گوشه نشینان ز قاف تا قاف است حدیث مدعیان و خیال همکاران همان حکایت زردوز و بوریاباف است خموش حافظ و این نکته‌های چون زر سرخ نگاه دار که قلاب شهر صراف است,1,"[[-8.5129315e-04  3.4700927e-06  9.1898453e-04 ... -1.0645055e-03
  -4.5215798e-04  4.9793306e-03]]","[[ 0.00890401 -0.00015182  0.02609196 ...  0.01162193  0.02658374
   0.01360859]]"
53,LASER,26,انسان نباید فخر فروشی داشته باشد.,228,بخت از دهان دوست نشانم نمی‌دهد دولت خبر ز راز نهانم نمی‌دهد از بهر بوسه‌ای ز لبش جان همی‌دهم اینم همی‌ستاند و آنم نمی‌دهد مردم در این فراق و در آن پرده راه نیست یا هست و پرده دار نشانم نمی‌دهد زلفش کشید باد صبا چرخ سفله بین کان جا مجال بادوزانم نمی‌دهد چندان که بر کنار چو پرگار می‌شدم دوران چو نقطه ره به میانم نمی‌دهد شکر به صبر دست دهد عاقبت ولی بدعهدی زمانه زمانم نمی‌دهد گفتم روم به خواب و ببینم جمال دوست حافظ ز آه و ناله امانم نمی‌دهد,2,"[[-8.5129315e-04  3.4700927e-06  9.1898453e-04 ... -1.0645055e-03
  -4.5215798e-04  4.9793306e-03]]","[[ 1.5478509e-03 -7.0157083e-05  9.3364436e-04 ...  7.2157420e-03
   1.2115038e-02  1.0117956e-02]]"
54,LASER,27,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,235,اگر آن طایر قدسی ز درم بازآید عمر بگذشته به پیرانه سرم بازآید دارم امید بر این اشک چو باران که دگر برق دولت که برفت از نظرم بازآید آن که تاج سر من خاک کف پایش بود از خدا می‌طلبم تا به سرم بازآید خواهم اندر عقبش رفت به یاران عزیز شخصم ار بازنیاید خبرم بازآید گر نثار قدم یار گرامی نکنم گوهر جان به چه کار دگرم بازآید کوس نودولتی از بام سعادت بزنم گر ببینم که مه نوسفرم بازآید مانعش غلغل چنگ است و شکرخواب صبوح ور نه گر بشنود آه سحرم بازآید آرزومند رخ شاه چو ماهم حافظ همتی تا به سلامت ز درم بازآید,1,"[[-0.00068212  0.00707286  0.00429108 ...  0.00694478  0.04114396
   0.02859336]]",[[0.00607027 0.0230122  0.01033858 ... 0.02025892 0.02843326 0.01038182]]
55,LASER,27,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,99,دی پیر می فروش که ذکرش به خیر باد گفتا شراب نوش و غم دل ببر ز یاد گفتم به باد می‌دهدم باده نام و ننگ گفتا قبول کن سخن و هر چه باد باد سود و زیان و مایه چو خواهد شدن ز دست از بهر این معامله غمگین مباش و شاد بادت به دست باشد اگر دل نهی به هیچ در معرضی که تخت سلیمان رود به باد حافظ گرت ز پند حکیمان ملالت است کوته کنیم قصه که عمرت دراز باد,2,"[[-0.00068212  0.00707286  0.00429108 ...  0.00694478  0.04114396
   0.02859336]]","[[ 1.0643418e-02 -4.6636644e-05 -4.8089385e-04 ...  2.7277337e-02
   3.6135685e-02  2.7236886e-02]]"
56,LASER,28,باید شکرگزار باشیم,442,چو سرو اگر بخرامی دمی به گلزاری خورد ز غیرت روی تو هر گلی خاری ز کفر زلف تو هر حلقه‌ای و آشوبی ز سحر چشم تو هر گوشه‌ای و بیماری مرو چو بخت من ای چشم مست یار به خواب که در پی است ز هر سویت آه بیداری نثار خاک رهت نقد جان من هر چند که نیست نقد روان را بر تو مقداری دلا همیشه مزن لاف زلف دلبندان چو تیره رای شوی کی گشایدت کاری سرم برفت و زمانی به سر نرفت این کار دلم گرفت و نبودت غم گرفتاری چو نقطه گفتمش اندر میان دایره آی به خنده گفت که ای حافظ این چه پرگاری,1,"[[ 7.4747750e-03 -8.6600128e-05  6.3981576e-04 ...  1.2152098e-02
   1.6207168e-02 -1.2195020e-03]]","[[-2.2815149e-04 -2.1907485e-04 -6.0653671e-05 ...  4.9074464e-03
   2.6253412e-02 -3.5730677e-03]]"
57,LASER,28,باید شکرگزار باشیم,302,شممت روح وداد و شمت برق وصال بیا که بوی تو را میرم ای نسیم شمال احادیا بجمال الحبیب قف و انزل که نیست صبر جمیلم ز اشتیاق جمال حکایت شب هجران فروگذاشته به به شکر آن که برافکند پرده روز وصال بیا که پرده گلریز هفت خانه چشم کشیده‌ایم به تحریر کارگاه خیال چو یار بر سر صلح است و عذر می‌طلبد توان گذشت ز جور رقیب در همه حال بجز خیال دهان تو نیست در دل تنگ که کس مباد چو من در پی خیال محال قتیل عشق تو شد حافظ غریب ولی به خاک ما گذری کن که خون مات حلال,2,"[[ 7.4747750e-03 -8.6600128e-05  6.3981576e-04 ...  1.2152098e-02
   1.6207168e-02 -1.2195020e-03]]","[[ 0.00701601 -0.00022037 -0.00111713 ...  0.01768356  0.01601202
   0.01248993]]"
