,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag,
53,171,10,1609,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,0,
54,174,12,1460,انسان واقعی در برابر ظلم سکوت نمی‌کند,گویند شاه عشق ندارد وفا دروغ گویند صبح نبود شام تو را دروغ گویند بهر عشق تو خود را چه می کشی بعد از فنای جسم نباشد بقا دروغ گویند اشک چشم تو در عشق بیهده ست چون چشم بسته گشت نباشد لقا دروغ گویند چون ز دور زمانه برون شدیم زان سو روان نباشد این جان ما دروغ گویند آن کسان که نرستند از خیال جمله خیال بد قصص انبیا دروغ گویند آن کسان که نرفتند راه راست ره نیست بنده را به جناب خدا دروغ گویند رازدان دل اسرار و راز غیب بی واسطه نگوید مر بنده را دروغ گویند بنده را نگشایند راز دل وز لطف بنده را نبرد بر سماع دروغ گویند آن کسی که بود در سرشت خاک با اهل آسمان نشود آشنا دروغ گویند جان پاک از این آشیان خاک با پر عشق برنپرد بر هوا دروغ گویند ذره ذره بد و نیک خلق را آن آفتاب حق نرساند جزا دروغ خاموش کن ز گفت وگر گویدت کسی جز حرف و صوت نیست سخن را ادا دروغ,1299,0,
55,176,13,1609,باید بخشنده باشیم,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,0,
56,177,13,1648,باید بخشنده باشیم,از اصل چو حورزاد باشیم شاید که همیشه شاد باشیم ما داد طرب دهیم تا ما در عشق امیرداد باشیم چون عشق بنا نهاد ما را دانی که نکونهاد باشیم در عشق توام گشاد دیده چون عشق تو باگشاد باشیم ما را چو مراد بی مرادی است پس ما همه بر مراد باشیم چون بنده بندگان عشقیم کیخسرو و کیقباد باشیم چون یوسف آن عزیز مصریم هر چند که در مزاد باشیم بر چهره یوسفی حجابی است اندر پس پرده راد باشیم خود باد حجاب را رباید ما منتظران باد باشیم ما دل به صلاح دین سپردیم تا در دل او به یاد باشیم,1551,1,
57,178,14,2797,باید حق‌جو وعدالت‌پیشه باشیم,خواهیم یارا کامشب نخسپی حق خدا را کامشب نخسپی چون سرو و سوسن تا روز روشن خوبیم و زیبا کامشب نخسپی یار موافق تا صبح صادق شاهی و مولا کامشب نخسپی ای ماه پاره همچون ستاره باشی به بالا کامشب نخسپی از حسن رویت و از لطف مویت خواهد ثریا کامشب نخسپی چون دید ما را مست تو یارا نالید سرنا کامشب نخسپی چون روز لالا دارد علالا کوری لالا کامشب نخسپی در جمع مستان با زیردستان بگریست صهبا کامشب نخسپی قومی ز خویشان گشته پریشان بهر تو تنها کامشب نخسپی,3132,0,
58,181,15,2497,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,نه آتش های ما را ترجمانی نه اسرار دل ما را زبانی نه محرم درد ما را هیچ آهی نه همدم آه ما را هیچ جانی نه آن گوهر که از دریا برآمد نه آن دریا که آرامد زمانی نه آن معنی که زاید هیچ حرفی نه آن حرفی که آید در بیانی معانی را زبان چون ناودان است کجا دریا رود در ناودانی جهان جان که هر جزوش جهان است نگنجد در دهان هرگز جهانی,2721,0,
59,183,16,1606,نباید از دیگران درخواست های متعدد داشت,همیشه من چنین مجنون نبودم ز عقل و عافیت بیرون نبودم چو تو عاقل بدم من نیز روزی چنین دیوانه و مفتون نبودم مثال دلبران صیاد بودم مثال دل میان خون نبودم در این بودم که این چون است و آن چون چنین حیران آن بی چون نبودم تو باری عاقلی بنشین بیندیش کز اول بوده ام اکنون نبودم همی جستم فزونی بر همه کس چو صید عشق روزافزون نبودم چو دود از حرص بالا می دویدم به معنی جز سوی هامون نبودم چو گنج از خاک بیرون اوفتادم که گنجی بودم و قارون نبودم,1506,0,
60,184,17,2109,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,ای سنایی عاشقان را درد باید درد کو بار جور نیکوان را مرد باید مرد کو بار جور نیکوان از دی و فردا برتر است وانما جان کسی از دی و فردا فرد کو ور خیال آید تو را کز دی و فردا برتری برتری را کار و بار و ملک و بردابرد کو در میان هفت دریا دامن تو خشک کو در میان هفت دوزخ عنصر تو سرد کو این نداری خود ولیکن گر تو این را طالبی آه سرد و اشک گرم و چهره های زرد کو هر نفس بوی دل آید از صراط المستقیم تا نگویی عشق ره رو را که راه آورد کو گرد از آن دریا برآمد گرد جسم اولیاست تا نگویی قوم موسی را در این یم گرد کو,2199,0,
61,185,17,2570,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,گر چه در مستی خسی را تو مراعاتی کنی و آنک نفی محض باشد گر چه اثباتی کنی آنک او رد دل است از بددرونی های خویش گر نفاقی پیشش آری یا که طاماتی کنی ور تو خود را از بد او کور و کر سازی دمی مدح سر زشت او یا ترک زلاتی کنی آن تکلف چند باشد آخر آن زشتی او بر سر آید تا تو بگریزی و هیهاتی کنی او به صحبت ها نشاید دور دارش ای حکیم جز که در رنجش قضاگو دفع حاجاتی کنی مر مناجات تو را با او نباشد همدم او جز برای حاجتش با حق مناجاتی کنی آن مراعات تو او را در غلط ها افکند پس ملازم گردد او وز غصه ویلاتی کنی آن طرب بگذشت او در پیش چون قولنج ماند تا گریزی از وثاق و یا که حیلاتی کنی آن کسی را باش کو در گاه رنج و خرمی هست همچون جنت و چون حور کش هاتی کنی از هواخواهان آن مخدوم شمس الدین بود شاید او را گر پرستی یا که چون لاتی کنی ور نه بگریز از دگر کس تا به تبریز صفا تا شوی مست از جمال و ذوق و حالاتی کنی,2808,1,
62,186,18,1609,نباید اندوهگین شد,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,0,
63,189,19,1669,باید اهل یادگیری و دانش باشیم,ما عاشق و بی دل و فقیریم هم کودک و هم جوان و پیریم چون کبریتیم و هیزم خشک ما آتش عشق زو پذیریم از آتش عشق برفروزیم اما چون برق زو نمیریم ما خون جگر خوریم چون شیر چون یوز نه عاشق پنیریم گویند شما چه دست گیرید کو دست تو را که دست گیریم بر خویش پرست همچو خاریم بر دوست پرست چون حریریم عاشق که چو شمع می بسوزد او را چو فتیله ناگزیریم از ما مگریز زانک با تو آمیخته همچو شهد و شیریم تو میر شکار بی نظیری ما نیز شکار بی نظیریم در حسن تو را تنور گرم است ما را بربند ما خمیریم ما را به قدوم خویش درباف زیر قدم تو چون حصیریم,1573,0,
64,193,21,1842,آخرت را بر دنیا باید ترجیح داد,کافرم ار در دو جهان عشق بود خوشتر از این دیده ایمان شود ار نوش کند کافر از این عشق بود کان هنر عشق بود معدن زر دوست شود جلوه از آن پوست شود پرزر از این عشق چو بگشاید لب بوی دهد بوی عجب مشک شده مست از او گشته خجل عنبر از این عشق بود خوب جهان مادر خوبان شهان خاک شود گوهر از آن فخر کند مادر از این,1819,0,
65,194,22,737,میزان موفقیت به اندازه میزان رنج و تلاش است,مبر رنج ای برادر خواجه سختست به وقت داد و بخشش شوربختست اگر چه باغ را نیمی گرفته ست ولیکن سخت بی میوه درختست گشاده ابروست و بسته کیسه مشو غره که او را سیم و رختست دو دستش را به تخته دوختستند چه سود ار خواجه بر بالای تختست وجودش گر چه یک پاره ست چون کوه سخااش مرده است و لخت لختست,349,2,
66,195,22,2515,میزان موفقیت به اندازه میزان رنج و تلاش است,روز طرب است و سال شادی کامروز به کوی ما فتادی تاریکی غم تمام برخاست چون شمع در این میان نهادی اندیشه و غم چه پای دارد با آن قدح وفا که دادی ای باده تو از کدام مشکی وی مه به کدام ماه زادی مستی و خوشی و شادکامی سلطان دلی و کیقبادی و آن عقل که کدخدای غم بود از ما ستدی به اوستادی شاباش که پای غم ببستی صد گونه در طرب گشادی,2744,1,
67,202,26,2697,انسان نباید فخر فروشی داشته باشد.,جان خاک آن مهی که خداش است مشتری آن کس ملک ندید و نه انسان و نی پری چون از خودی برون شد او آدمی نماند او راست چشم روشن و گوش پیمبری تا آدمی است آدمی و تا ملک ملک بسته ست چشم هر دو از آن جان و دلبری عالم به حکم او است مر او را چه فخر از این چون آن او است خالق عالم به یک سوی بحری که کمترین شبه را گوهری کند حاشا از او که لاف برآرد ز گوهری آن ذره است لایق رقص چنان شعاع کو گشت از هزار چو خورشید و مه بری آن ذره ای که گر قدمش بوسد آفتاب خود ننگرد به تابش او جز که سرسری بنما مها به کوری خورشید تابشی تا زین سپس زنخ نزند از منوری درتاب شاه و مفخر تبریز شمس دین تا هر دو کون پر شود از نور داوری,2990,2,
68,203,26,1021,انسان نباید فخر فروشی داشته باشد.,آن کس که به بندگیت آید با او تو چنین کنی نشاید ای روی تو خوب و خوی تو خوش چون تو گهری فلک نزاید روی تو و خوی تو لطیفست سر دل تو لطیف باید آن شخص که مردنیست فردا امروز چرا جفا نماید چیزی که به خود نمی پسندد آن بر دگری چه آزماید از خشم مخای هیچ کس را تا خشم خدا تو را نخاید برخیز ز قصد خون خلقان تا بر سر تو فرونیاید آن گاه قضا ز تو بگردد کان وسوسه در دلت نیاید ای گفته که مردم این چه مردیست کابلیس تو را چنین بگاید,717,0,
69,206,28,1675,باید شکرگزار باشیم,ما آب دریم ما چه دانیم چه شور و شریم ما چه دانیم هر دم ز شراب بی نشانی خود مستتریم ما چه دانیم تا گوهر حسن تو بدیدیم رخ همچو زریم ما چه دانیم تا عشق تو پای ما گرفته ست بی پا و سریم ما چه دانیم خشک و تر ما همه تویی تو خوش خشک و تریم ما چه دانیم سرحلقه زلف تو گرفتیم خوش می شمریم ما چه دانیم گر زیر و زبر شود دو عالم زیر و زبریم ما چه دانیم گر سبزه و باغ خشک گردد ما از تو چریم ما چه دانیم گلزار اگر همه بریزد گل از تو بریم ما چه دانیم گر چرخ هزار مه نماید در تو نگریم ما چه دانیم گر زانک شکر جهان بگیرد ما باده خوریم ما چه دانیم شمس تبریز ز آفتابت همچون قمریم ما چه دانیم,1579,0,
70,213,31,1632,باید خطاهای دیگران را ببخشیم,بیا ما چند کس با هم بسازیم چو شادی کم شود با غم بسازیم بیا تا با خدا خلوت گزینیم چو عیسی با چنین مریم بسازیم گر از فرزند آدم کس نماند چه غم داریم با آدم بسازیم ور آدم نیز از ما گوشه گیرد به جان تو که بی او هم بسازیم یکی جانی است ما را شادی انگیز که گر ویران شود عالم بسازیم اگر دریا شود آتش بنوشیم وگر زخمی رسد مرهم بسازیم به پیش کعبه رویش بمیریم بدان چاه و بدان زمزم بسازیم,1534,2,
71,214,32,1281,باید کم گویی کرد,گفتی که زیان کنی زیان گیر گفتی که تو ملحدی چنان گیر گفتی که تو روبهی نه ای شیر ما را سقط همه سگان گیر گفتی که ز دل خبر نداری ای مونس دل مرا زبان گیر,1059,2,
72,223,36,1415,باید اهل یاری کردن یکدیگر بود,ای سنایی گر نیابی یار یار خویش باش در جهان هر مرد و کاری مرد کار خویش باش هر یکی زین کاروان مر رخت خود را رهزنند خویشتن را پس نشان و پیش بار خویش باش حس فانی می دهند و عشق فانی می خرند زین دو جوی خشک بگذر جویبار خویش باش می کشندت دست دست این دوستان تا نیستی دست دزد از دستشان و دستیار خویش باش این نگاران نقش پرده آن نگاران دلند پرده را بردار و دررو با نگار خویش باش با نگار خویش باش و خوب خوب اندیش باش از دو عالم بیش باش و در دیار خویش باش رو مکن مستی از آن خمری کز او زاید غرور غره آن روی بین و هوشیار خویش باش,1244,1,
73,224,37,1650,باید در هنگام پیمان بستن دقت کنیم,ما صحبت همدگر گزینیم بر دامن همدگر نشینیم یاران همه پیشتر نشینید تا چهره همدگر ببینیم ما را ز درون موافقت هاست تا ظن نبری که ما همینیم این دم که نشسته ایم با هم می بر کف و گل در آستینیم از عین به غیب راه داریم زیرا همراه پیک دینیم از خانه به باغ راه داریم همسایه سرو و یاسمینیم هر روز به باغ اندرآییم گل های شکفته صد ببینیم وز بهر نثار عاشقان را دامن دامن ز گل بچینیم از باغ هر آنچ جمع کردیم در پیش نهیم و برگزینیم از ما دل خویش درمدزدید ما دزد نه ایم ما امینیم اینک دم ما نسیم آن گل ما گلبن گلشن یقینیم عالم پر شد نسیم آن گل یعنی که بیا که ما چنینیم بومان ببرد چو بوی بردیم مه مان کند ار چه ما کهینیم هر چند کمین غلام عشقیم چون عشق نشسته در کمینیم,1553,-1,
74,226,38,2814,در انتخاب دوست باید دقت کنیم,در غم یار، یار بایستی یا غمم را کنار بایستی زانچ کردم کنون پشیمانم دل امسال پار بایستی دل من شیر بیشه را ماند شیر در مرغزار بایستی تا بدانستیی ز دشمن و دوست زندگانی دو بار بایستی دشمن عیب جوی بسیارست دوستی غمگسار بایستی ماهی جان ما که پیچانست بر لب جویبار بایستی چون رضای دل تو در غم ماست یک چه باشد؟ هزار بایستی یار لاحول گوی را چه کنم یار شیرین عذار بایستی خوک دنیاست صید این خامان آهوی جان شکار بایستی همره بی وفا همی لنگد همره راهوار بایستی صد هزاران سخن نهان دارم گوش را گوشوار بایستی,3156,2,
75,227,38,815,در انتخاب دوست باید دقت کنیم,بر عاشقان فریضه بود جست و جوی دوست بر روی و سر چو سیل دوان تا بجوی دوست خود اوست جمله طالب و ما همچو سایه ها ای گفت و گوی ما همگی گفت و گوی دوست گاهی به جوی دوست چو آب روان خوشیم گاهی چو آب حبس شدم در سبوی دوست گه چون حویج دیگ بجوشیم و او به فکر کفگیر می زند که چنینست خوی دوست بر گوش ما نهاده دهان او به دمدمه تا جان ما بگیرد یک باره بوی دوست چون جان جان وی آمد از وی گزیر نیست من در جهان ندیدم یک جان عدوی دوست بگدازدت ز ناز و چو مویت کند ضعیف ندهی به هر دو عالم یکتای موی دوست با دوست ما نشسته که ای دوست دوست کو کو کو همی زنیم ز مستی به کوی دوست تصویرهای ناخوش و اندیشه رکیک از طبع سست باشد و این نیست سوی دوست خاموش باش تا صفت خویش خود کند کو های های سرد تو کو های هوی دوست,442,-1,
76,229,39,2065,باید وفای به عهد داشته باشیم,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,2129,2,
77,231,40,1205,باید سعی کنیم نیکو عمل کنیم,دیده ها شب فراز باید کرد روز شد دیده باز باید کرد ترک ما هر طرف که مرکب راند آن طرف ترک تاز باید کرد مطبخ جان به سوی بی سوییست پوز آن سو دراز باید کرد چون چنین کان زر پدید آمد خویش را جمله گاز باید کرد جامه عمر را ز آب حیات چون خضر خوش طراز باید کرد چون غیورست آن نبات حیات زین شکر احتراز باید کرد چون چنین نازنین به خانه ماست وقت نازست ناز باید کرد با گل و خار ساختن مردیست مرد را ساز ساز باید کرد قبله روی او چو پیدا شد کعبه ها را نماز باید کرد سجده هایی که آن سری باشد پیش آن سرفراز باید کرد پیش آن عشق عاقبت محمود خویشتن را ایاز باید کرد چون حقیقت نهفته در خمشیست ترک گفت مجاز باید کرد,970,1,
78,232,41,1606,صبر یکی از صفات خردمندان است,همیشه من چنین مجنون نبودم ز عقل و عافیت بیرون نبودم چو تو عاقل بدم من نیز روزی چنین دیوانه و مفتون نبودم مثال دلبران صیاد بودم مثال دل میان خون نبودم در این بودم که این چون است و آن چون چنین حیران آن بی چون نبودم تو باری عاقلی بنشین بیندیش کز اول بوده ام اکنون نبودم همی جستم فزونی بر همه کس چو صید عشق روزافزون نبودم چو دود از حرص بالا می دویدم به معنی جز سوی هامون نبودم چو گنج از خاک بیرون اوفتادم که گنجی بودم و قارون نبودم,1506,0,
79,233,41,2606,صبر یکی از صفات خردمندان است,هست اندر غم تو دلشده دانشمندی همچو نقره ست در آتشکده دانشمندی بر امید کرم و رحمت بخشایش تو از ره دور به سر آمده دانشمندی هست ز اوباش خیالات تو اندر ره عشق خسته و شیفته و ره زده دانشمندی چه زیان دارد خوبی تو را دوست اگر قوت یابد ز چنین مایده دانشمندی با چنین جام جنونی که تو گردان کردی کی بماند به سر قاعده دانشمندی کی روا دارد انصاف و جوانمردی تو که به غم کشته شود بیهده دانشمندی کی روا دارد خورشید حق گرمی بخش که فسرده شود از مجمده دانشمندی جانب مدرسه عشق کشیدش لطفت تا ز درس تو برد فایده دانشمندی نحس تربیع عناصر بگرفتش رحمی تا منور شود از منقده دانشمندی بس سخن دارد وز بیم ملال دل تو لب ببسته ست در این معبده دانشمندی,2869,0,
80,234,42,832,باید سختی‌ها را تحمل کرد,پیش چنین ماه رو گیج شدن واجبست عشرت پروانه را شمع و لگن واجبست هست ز چنگ غمش گوش مرا کش مکش هر دمم از چنگ او تن تننن واجبست دلو دو چشم مرا گر چه که کم نیست آب مردمک دیده را چاه ذقن واجبست دلبر چون ماه را هر چه کند می رسد عاشق درگاه را خلق حسن واجبست طره خویش ای نگار خوش به کف من سپار هر که در این چه فتاد داد رسن واجبست عشق که شهر خوشیست این همه اغیار چیست حفظ چنین شهر را برج و بدن واجبست غمزه دزدیده را شحنه غم در پیست روشنی دیده را خوب ختن واجبست عاشق عیسی نه ای بی خور و خر کی زیی کالبد مرده را گور و کفن واجبست مریم جان را مخاض برد به نخل و ریاض منقطع درد را نزل وطن واجبست نزل دل بارکش هست ملاقات خوش ناقه پرفاقه را شرب و عطن واجبست لطف کن ای کان قند راه دهانم ببند اشتر سرمست را بند دهن واجبست,471,2,
81,239,44,1648,باید خسیس باشیم,از اصل چو حورزاد باشیم شاید که همیشه شاد باشیم ما داد طرب دهیم تا ما در عشق امیرداد باشیم چون عشق بنا نهاد ما را دانی که نکونهاد باشیم در عشق توام گشاد دیده چون عشق تو باگشاد باشیم ما را چو مراد بی مرادی است پس ما همه بر مراد باشیم چون بنده بندگان عشقیم کیخسرو و کیقباد باشیم چون یوسف آن عزیز مصریم هر چند که در مزاد باشیم بر چهره یوسفی حجابی است اندر پس پرده راد باشیم خود باد حجاب را رباید ما منتظران باد باشیم ما دل به صلاح دین سپردیم تا در دل او به یاد باشیم,1551,-2,
82,244,47,1702,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,بت بی نقش و نگارم جز تو یار ندارم تویی آرام دل من مبر ای دوست قرارم ز جفای تو حزینم جز عشقت نگزینم هوسی نیست جز اینم جز از این کار ندارم تو به رخسار چو ماهی چه لطیفی و چه شاهی تو مرا پشت و پناهی ز تو آراسته کارم جز عشقت نپذیرم جز زلف تو نگیرم که در این عهد چو تیرم که بر این چنگ چو تارم تن ما را همه جان کن همه را گوهر کان کن ز طرب چشمه روان کن به سوی باغ و بهارم,1617,-1,
83,251,0,3229,باید حقوق دیگران را رعایت کنیم,We accept the love we think we deserve,,0,
84,254,2,3285,ما باید از غیبت کردن پرهیز کنیم,We read to know we're not alone,,1,
85,263,6,4814,تفاوت قائل شدن بین انسان‌ها درست است,One person's craziness is another person's reality,,1,
86,266,8,4395,باید قبل از سخن گفتن فکر کرد.,"Children must be taught how to think, not what to think",,1,
87,267,8,3671,باید قبل از سخن گفتن فکر کرد.,Think before you speak. Read before you think,,2,
88,268,9,3229,باید قدردان دارایی‌های خودمان باشیم,We accept the love we think we deserve,,2,
89,270,10,4295,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,If you do not tell the truth about yourself you cannot tell it about other people,,1,
90,274,12,3384,انسان واقعی در برابر ظلم سکوت نمی‌کند,Never tell the truth to people who are not worthy of it,,0,
91,275,12,4998,انسان واقعی در برابر ظلم سکوت نمی‌کند,Most men would rather deny a hard truth than face it,,-1,
92,277,13,4745,باید بخشنده باشیم,I must have loved you a lot,,2,
93,278,14,4164,باید حق‌جو وعدالت‌پیشه باشیم,We have to continually be jumping off cliffs and developing our wings on the way down,,1,
94,282,16,4956,نباید از دیگران درخواست های متعدد داشت,Don't cry over someone who wouldn't cry over you,,0,
95,283,16,3406,نباید از دیگران درخواست های متعدد داشت,You can never be overdressed or overeducated,,1,
96,288,19,4395,باید اهل یادگیری و دانش باشیم,"Children must be taught how to think, not what to think",,1,
97,290,20,5162,باید مهربان بود,I just want to be wonderful,,0,
98,292,21,4207,آخرت را بر دنیا باید ترجیح داد,The world was hers for the reading,,0,
99,293,21,5092,آخرت را بر دنیا باید ترجیح داد,Maybe this world is another planet s hell,,1,
